episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
60,517.00,870.43,385,1.929,22.7,0.133,0.000,0.147,0.063,0.105,0.168,0.231,0.154
61,822.00,869.64,638,1.891,22.9,0.176,0.000,0.224,0.165,0.059,0.118,0.176,0.082
62,650.00,866.10,614,1.935,23.3,0.141,0.006,0.183,0.120,0.078,0.135,0.186,0.153
63,946.00,867.37,751,1.885,23.5,0.250,0.000,0.211,0.195,0.078,0.125,0.102,0.039
64,436.00,860.62,410,1.981,24.3,0.130,0.016,0.147,0.147,0.116,0.177,0.156,0.112
65,680.00,857.85,511,1.768,24.4,0.091,0.000,0.323,0.121,0.152,0.131,0.121,0.061
66,1523.00,867.92,1049,1.755,24.6,0.153,0.000,0.322,0.195,0.169,0.025,0.068,0.068
67,535.00,862.96,462,1.945,25.0,0.141,0.031,0.195,0.187,0.160,0.092,0.092,0.103
68,962.00,864.41,817,1.877,25.4,0.210,0.029,0.161,0.207,0.144,0.069,0.066,0.112
69,1152.00,868.58,1037,1.803,25.7,0.251,0.014,0.222,0.140,0.111,0.048,0.097,0.116
70,593.00,864.64,480,1.920,26.1,0.154,0.003,0.233,0.187,0.092,0.069,0.154,0.108
71,819.00,864.00,784,1.914,26.5,0.164,0.000,0.262,0.156,0.070,0.102,0.135,0.111
72,744.00,862.33,566,1.978,27.4,0.162,0.014,0.211,0.103,0.117,0.138,0.111,0.144
73,600.00,858.74,556,1.967,27.9,0.211,0.011,0.176,0.144,0.070,0.142,0.142,0.104
74,510.00,854.03,426,1.994,28.3,0.217,0.023,0.136,0.117,0.113,0.136,0.091,0.168
75,938.00,855.15,869,2.004,30.1,0.202,0.043,0.178,0.144,0.086,0.099,0.142,0.106
76,719.00,853.36,683,1.778,30.3,0.311,0.015,0.061,0.174,0.015,0.136,0.197,0.091
77,720.00,851.62,616,1.951,30.8,0.200,0.014,0.145,0.068,0.085,0.162,0.225,0.101
78,1200.00,856.09,1104,1.768,30.8,0.267,0.000,0.083,0.083,0.067,0.233,0.250,0.017
79,341.00,849.57,328,1.941,31.2,0.178,0.019,0.137,0.111,0.133,0.189,0.163,0.070
80,811.00,849.09,694,1.973,31.7,0.174,0.032,0.131,0.142,0.091,0.223,0.166,0.040
81,1222.00,853.69,1071,1.836,31.8,0.181,0.011,0.074,0.106,0.191,0.181,0.074,0.181
82,1153.00,857.34,1118,1.902,32.1,0.333,0.030,0.131,0.054,0.095,0.113,0.095,0.149
83,1059.00,859.77,711,1.789,32.2,0.390,0.010,0.040,0.070,0.110,0.110,0.110,0.160
84,899.00,860.24,653,1.914,32.4,0.218,0.008,0.067,0.109,0.168,0.118,0.092,0.218
85,998.00,861.86,830,1.939,32.6,0.211,0.011,0.086,0.086,0.119,0.184,0.141,0.162
86,880.00,862.07,765,2.046,33.7,0.146,0.086,0.115,0.116,0.100,0.159,0.138,0.140
87,538.00,858.34,419,1.937,34.2,0.158,0.009,0.164,0.149,0.158,0.110,0.152,0.101
88,723.00,856.81,723,2.034,35.1,0.106,0.050,0.178,0.155,0.139,0.119,0.115,0.136
89,794.00,856.10,520,1.851,35.3,0.095,0.041,0.231,0.136,0.065,0.154,0.053,0.225
90,680.00,854.14,564,1.998,35.6,0.126,0.053,0.174,0.166,0.138,0.109,0.028,0.206
91,431.00,849.49,307,2.028,36.3,0.151,0.097,0.107,0.138,0.122,0.109,0.062,0.214
92,903.00,850.08,503,1.977,36.5,0.170,0.106,0.101,0.165,0.154,0.059,0.069,0.176
93,939.00,851.03,779,1.895,36.8,0.171,0.104,0.233,0.181,0.155,0.052,0.036,0.067
94,628.00,848.66,612,2.034,37.5,0.142,0.127,0.193,0.138,0.133,0.117,0.070,0.080
95,875.00,848.94,534,1.885,37.9,0.186,0.129,0.238,0.122,0.135,0.077,0.039,0.074
96,753.00,847.94,465,2.006,38.5,0.161,0.105,0.241,0.161,0.129,0.099,0.034,0.069
97,969.00,849.19,738,2.036,39.0,0.201,0.083,0.180,0.139,0.155,0.080,0.075,0.086
98,490.00,845.52,454,2.043,39.5,0.147,0.113,0.150,0.125,0.163,0.116,0.084,0.103
99,803.00,845.09,590,2.026,39.8,0.216,0.077,0.117,0.131,0.117,0.077,0.117,0.149
100,411.00,840.75,391,2.037,40.2,0.125,0.074,0.135,0.162,0.115,0.074,0.139,0.176
101,731.00,834.93,676,2.041,41.3,0.123,0.105,0.114,0.159,0.155,0.059,0.127,0.159
102,978.00,830.79,950,2.037,42.2,0.158,0.081,0.098,0.106,0.120,0.079,0.136,0.222
103,1717.00,834.30,1345,1.956,42.4,0.279,0.047,0.093,0.070,0.047,0.101,0.093,0.271
104,296.00,835.33,296,1.861,42.6,0.338,0.076,0.070,0.057,0.070,0.089,0.242,0.057
105,732.00,835.86,629,1.925,42.8,0.225,0.085,0.063,0.056,0.085,0.092,0.296,0.099
106,989.00,844.16,946,1.853,43.0,0.252,0.084,0.056,0.084,0.131,0.131,0.215,0.047
107,2018.00,854.48,1943,1.677,43.2,0.356,0.033,0.011,0.111,0.056,0.100,0.233,0.100
108,1049.00,861.80,1048,1.837,43.3,0.295,0.000,0.011,0.105,0.084,0.242,0.221,0.042
109,1501.00,871.48,1231,2.064,44.0,0.143,0.141,0.137,0.145,0.095,0.139,0.093,0.106
110,358.00,869.52,267,2.052,44.4,0.155,0.101,0.149,0.137,0.113,0.101,0.122,0.122
111,732.00,872.13,378,2.057,44.8,0.142,0.104,0.135,0.167,0.087,0.135,0.101,0.128
112,571.00,873.62,513,2.028,45.8,0.125,0.107,0.131,0.140,0.142,0.117,0.114,0.124
113,883.00,863.66,650,1.978,46.0,0.138,0.083,0.055,0.320,0.066,0.050,0.116,0.171
114,849.00,867.76,649,1.983,46.5,0.100,0.236,0.088,0.086,0.077,0.189,0.074,0.150
115,703.00,869.41,640,2.028,46.9,0.102,0.158,0.117,0.079,0.102,0.188,0.094,0.162
116,624.00,869.34,472,2.034,47.2,0.115,0.163,0.145,0.075,0.066,0.159,0.088,0.189
117,1236.00,872.53,1184,2.018,47.5,0.134,0.164,0.144,0.080,0.065,0.119,0.134,0.159
118,964.00,874.51,851,2.052,48.1,0.141,0.189,0.141,0.101,0.107,0.135,0.074,0.113
119,450.00,868.57,387,2.009,48.7,0.137,0.155,0.128,0.084,0.130,0.128,0.102,0.137
120,1078.00,860.60,1033,2.034,50.4,0.133,0.150,0.151,0.099,0.108,0.112,0.096,0.150
121,412.00,846.41,179,1.803,50.9,0.036,0.160,0.283,0.106,0.154,0.056,0.034,0.171
122,233.00,842.50,27,1.871,51.4,0.040,0.206,0.258,0.065,0.160,0.049,0.003,0.218
123,768.00,845.40,461,1.855,51.6,0.078,0.163,0.190,0.150,0.157,0.065,0.007,0.190
124,410.00,845.52,125,1.925,52.0,0.064,0.161,0.191,0.071,0.172,0.105,0.011,0.225
125,632.00,843.82,535,1.924,52.4,0.093,0.186,0.166,0.134,0.145,0.083,0.028,0.166
126,679.00,844.01,646,1.969,53.0,0.108,0.176,0.146,0.132,0.158,0.110,0.044,0.124
127,674.00,836.25,553,1.985,53.9,0.097,0.170,0.132,0.146,0.156,0.126,0.038,0.135
128,1188.00,845.14,552,1.934,54.3,0.180,0.108,0.133,0.126,0.198,0.162,0.022,0.072
129,809.00,848.45,509,1.953,55.2,0.132,0.121,0.182,0.118,0.186,0.129,0.009,0.124
130,605.00,838.77,296,1.900,55.4,0.138,0.114,0.210,0.054,0.186,0.156,0.000,0.144
131,987.00,844.09,595,1.955,55.9,0.132,0.132,0.160,0.120,0.117,0.191,0.000,0.148
132,568.00,843.65,42,1.945,56.5,0.183,0.138,0.144,0.093,0.142,0.176,0.000,0.124
133,1502.00,856.34,937,1.945,57.0,0.211,0.094,0.113,0.094,0.134,0.199,0.024,0.132
134,807.00,856.34,238,1.923,57.4,0.178,0.102,0.107,0.156,0.147,0.151,0.000,0.160
