episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
865,902.00,835.46,840,1.996,365.3,0.155,0.119,0.090,0.220,0.087,0.144,0.090,0.094
866,877.00,833.40,762,1.993,365.7,0.089,0.119,0.119,0.218,0.050,0.215,0.083,0.109
867,657.00,833.92,502,2.039,366.2,0.142,0.175,0.142,0.156,0.067,0.172,0.058,0.089
868,1309.00,838.13,1061,2.028,366.8,0.145,0.192,0.094,0.118,0.091,0.158,0.099,0.103
869,885.00,843.40,798,2.022,367.5,0.137,0.133,0.141,0.152,0.087,0.188,0.103,0.059
870,1162.00,849.48,178,1.912,367.8,0.087,0.093,0.240,0.160,0.133,0.193,0.007,0.087
871,1470.00,858.69,939,1.911,367.9,0.075,0.092,0.167,0.067,0.067,0.292,0.050,0.192
872,1189.00,858.27,568,1.966,368.2,0.083,0.123,0.167,0.142,0.108,0.191,0.034,0.152
873,607.00,857.64,374,2.017,368.5,0.102,0.144,0.172,0.130,0.088,0.242,0.009,0.112
874,949.00,855.59,335,2.019,368.7,0.152,0.091,0.144,0.174,0.083,0.136,0.061,0.159
875,1052.00,856.82,585,2.014,368.9,0.163,0.098,0.109,0.120,0.120,0.185,0.076,0.130
876,1596.00,867.36,1282,2.011,369.0,0.181,0.078,0.138,0.095,0.121,0.224,0.078,0.086
877,1419.00,870.91,985,2.014,369.3,0.115,0.105,0.152,0.194,0.052,0.147,0.136,0.099
878,541.00,863.24,512,2.042,370.0,0.122,0.093,0.100,0.202,0.106,0.154,0.137,0.087
879,654.00,862.66,639,1.975,371.4,0.155,0.092,0.124,0.153,0.109,0.131,0.124,0.111
880,1717.00,876.76,1567,1.546,371.7,0.128,0.378,0.064,0.000,0.192,0.023,0.192,0.023
881,1393.00,883.27,902,1.200,372.1,0.095,0.367,0.015,0.000,0.261,0.045,0.152,0.064
882,427.00,881.69,204,1.583,373.0,0.057,0.388,0.010,0.010,0.328,0.040,0.114,0.054
883,330.00,877.98,266,1.717,374.2,0.082,0.286,0.012,0.007,0.261,0.073,0.200,0.078
884,1015.00,883.96,741,1.428,374.5,0.123,0.313,0.000,0.000,0.368,0.018,0.135,0.043
885,1379.00,891.43,295,1.380,374.7,0.195,0.283,0.000,0.000,0.346,0.025,0.132,0.019
886,879.00,896.94,508,1.367,375.0,0.238,0.303,0.005,0.000,0.330,0.027,0.081,0.016
887,520.00,892.29,492,1.834,376.8,0.203,0.184,0.051,0.036,0.173,0.074,0.170,0.108
888,646.00,891.03,583,1.429,377.2,0.217,0.418,0.000,0.008,0.197,0.008,0.119,0.033
889,650.00,890.75,421,1.442,377.5,0.080,0.413,0.010,0.005,0.294,0.030,0.114,0.055
890,368.00,891.34,304,1.616,377.9,0.102,0.440,0.009,0.005,0.213,0.023,0.144,0.065
891,1118.00,898.57,788,1.491,378.1,0.087,0.391,0.011,0.022,0.250,0.033,0.141,0.065
892,693.00,898.44,693,1.874,378.9,0.125,0.204,0.057,0.029,0.191,0.112,0.165,0.116
893,522.00,898.55,475,1.887,379.6,0.134,0.182,0.041,0.046,0.230,0.065,0.196,0.106
894,853.00,899.32,800,1.601,379.8,0.087,0.283,0.022,0.000,0.261,0.080,0.196,0.072
895,406.00,899.59,331,1.818,380.4,0.093,0.302,0.052,0.044,0.136,0.087,0.172,0.114
896,953.00,902.01,850,1.948,381.4,0.101,0.220,0.083,0.065,0.131,0.107,0.158,0.136
897,1015.00,904.87,853,1.747,381.9,0.126,0.246,0.042,0.007,0.112,0.060,0.172,0.235
898,520.00,901.72,446,1.901,382.5,0.161,0.196,0.060,0.043,0.149,0.050,0.126,0.214
899,1585.00,910.54,1372,1.584,382.8,0.067,0.328,0.056,0.005,0.092,0.062,0.113,0.277
900,623.00,908.95,531,1.751,383.4,0.088,0.273,0.083,0.018,0.140,0.070,0.091,0.236
901,495.00,909.87,421,1.786,384.0,0.058,0.280,0.098,0.040,0.148,0.031,0.071,0.274
902,932.00,908.46,808,1.992,385.0,0.108,0.178,0.093,0.071,0.121,0.110,0.151,0.167
903,1166.00,915.39,1051,1.608,385.2,0.007,0.321,0.157,0.037,0.119,0.022,0.104,0.231
904,365.00,909.74,281,1.830,385.8,0.074,0.309,0.106,0.051,0.129,0.043,0.111,0.177
905,942.00,902.63,476,1.794,386.2,0.094,0.274,0.119,0.076,0.134,0.040,0.061,0.202
906,560.00,897.11,328,1.861,386.7,0.083,0.307,0.118,0.080,0.168,0.021,0.065,0.159
907,500.00,895.69,313,1.920,387.3,0.079,0.264,0.140,0.095,0.111,0.042,0.090,0.179
908,1145.00,894.82,944,1.773,387.8,0.074,0.246,0.219,0.091,0.152,0.020,0.104,0.094
909,560.00,890.44,503,1.817,388.5,0.062,0.312,0.223,0.033,0.147,0.012,0.116,0.095
910,1004.00,881.42,341,1.420,388.7,0.013,0.531,0.225,0.006,0.100,0.000,0.062,0.062
911,894.00,876.53,775,1.850,389.2,0.041,0.273,0.148,0.058,0.174,0.020,0.142,0.142
912,1152.00,880.22,1083,1.861,389.7,0.052,0.262,0.114,0.068,0.176,0.009,0.160,0.157
913,561.00,873.98,403,1.878,390.0,0.077,0.272,0.130,0.071,0.160,0.000,0.142,0.148
914,1937.00,879.75,1816,1.830,390.1,0.157,0.206,0.098,0.098,0.108,0.000,0.176,0.157
915,965.00,885.58,880,1.756,390.4,0.100,0.272,0.172,0.050,0.067,0.011,0.133,0.194
916,770.00,879.29,614,1.948,390.8,0.147,0.214,0.119,0.111,0.056,0.028,0.167,0.159
917,694.00,870.73,612,2.015,391.8,0.144,0.126,0.120,0.126,0.078,0.087,0.153,0.167
918,1038.00,874.81,932,1.814,392.1,0.106,0.298,0.126,0.096,0.056,0.015,0.141,0.162
919,419.00,871.19,358,1.871,392.5,0.108,0.217,0.195,0.061,0.047,0.004,0.202,0.166
920,1042.00,867.16,917,1.568,392.8,0.113,0.333,0.160,0.073,0.047,0.007,0.160,0.107
921,656.00,860.44,621,1.881,393.3,0.121,0.274,0.116,0.095,0.061,0.018,0.166,0.148
922,306.00,858.97,278,1.904,393.7,0.116,0.222,0.147,0.111,0.084,0.004,0.151,0.164
923,545.00,858.89,478,1.993,394.3,0.122,0.177,0.142,0.113,0.062,0.048,0.158,0.177
924,660.00,853.55,372,1.749,394.5,0.052,0.358,0.187,0.104,0.090,0.000,0.060,0.149
925,486.00,844.15,368,1.987,394.8,0.133,0.191,0.144,0.112,0.080,0.016,0.133,0.191
926,530.00,834.35,383,1.997,395.1,0.211,0.152,0.121,0.113,0.105,0.023,0.121,0.152
927,554.00,837.28,533,2.038,395.9,0.158,0.127,0.139,0.108,0.133,0.067,0.129,0.139
928,955.00,841.83,768,1.981,396.3,0.129,0.212,0.124,0.075,0.183,0.050,0.091,0.137
929,434.00,833.25,358,1.949,396.6,0.112,0.230,0.135,0.107,0.129,0.017,0.118,0.152
930,1028.00,827.19,815,1.978,396.9,0.144,0.246,0.096,0.112,0.096,0.070,0.107,0.128
931,426.00,820.32,407,2.034,397.6,0.149,0.180,0.118,0.102,0.122,0.044,0.149,0.136
932,513.00,814.69,508,1.935,398.1,0.107,0.154,0.127,0.124,0.154,0.040,0.154,0.140
933,339.00,808.41,318,1.995,398.7,0.110,0.082,0.095,0.095,0.113,0.074,0.279,0.151
934,781.00,806.17,732,1.870,398.9,0.126,0.120,0.114,0.137,0.103,0.011,0.229,0.160
935,640.00,806.13,634,1.662,399.1,0.029,0.097,0.097,0.155,0.049,0.000,0.359,0.214
936,353.00,799.00,333,1.815,399.5,0.038,0.135,0.100,0.135,0.088,0.038,0.335,0.131
937,820.00,799.95,761,1.980,400.3,0.134,0.096,0.096,0.148,0.085,0.082,0.238,0.122
938,268.00,797.10,241,1.912,400.7,0.079,0.103,0.089,0.206,0.121,0.019,0.224,0.159
939,1486.00,802.71,1209,1.848,400.8,0.110,0.068,0.059,0.280,0.144,0.000,0.161,0.178
940,453.00,795.84,450,1.947,401.1,0.118,0.077,0.097,0.159,0.144,0.021,0.226,0.159
941,776.00,797.08,712,1.887,401.6,0.105,0.115,0.112,0.102,0.139,0.058,0.173,0.197
942,911.00,797.66,836,1.605,401.9,0.052,0.052,0.058,0.069,0.480,0.000,0.087,0.202
943,727.00,800.37,471,1.923,402.3,0.162,0.086,0.092,0.106,0.264,0.023,0.106,0.162
944,812.00,796.26,768,1.995,403.0,0.156,0.091,0.146,0.141,0.200,0.049,0.097,0.120
945,640.00,795.27,493,1.939,403.4,0.155,0.106,0.135,0.127,0.180,0.024,0.090,0.184
946,1068.00,798.64,920,1.855,403.6,0.153,0.083,0.185,0.057,0.280,0.000,0.083,0.159
947,648.00,798.08,574,1.945,404.0,0.160,0.143,0.148,0.093,0.177,0.021,0.101,0.156
948,1366.00,802.72,560,1.917,404.3,0.176,0.074,0.125,0.119,0.153,0.023,0.114,0.216
949,964.00,803.09,753,1.924,404.6,0.205,0.103,0.137,0.085,0.175,0.017,0.094,0.184
950,1176.00,802.02,553,1.880,404.9,0.187,0.109,0.124,0.083,0.119,0.000,0.057,0.321
951,723.00,805.62,610,1.951,405.3,0.245,0.146,0.111,0.083,0.154,0.012,0.107,0.142
952,760.00,807.93,670,2.024,406.0,0.196,0.138,0.100,0.085,0.119,0.094,0.134,0.134
953,601.00,810.26,480,1.994,406.6,0.210,0.148,0.095,0.079,0.104,0.085,0.141,0.139
954,642.00,808.85,382,1.764,406.8,0.174,0.105,0.093,0.035,0.035,0.058,0.395,0.105
955,412.00,807.82,355,1.833,407.0,0.185,0.148,0.111,0.037,0.059,0.030,0.304,0.126
956,955.00,808.51,843,1.579,407.1,0.053,0.105,0.026,0.026,0.092,0.000,0.408,0.289
957,852.00,813.56,756,1.589,407.3,0.058,0.145,0.043,0.014,0.087,0.000,0.377,0.275
958,1013.00,814.36,986,1.534,407.4,0.074,0.130,0.019,0.056,0.074,0.000,0.296,0.352
959,529.00,816.76,464,1.807,407.5,0.110,0.200,0.070,0.040,0.100,0.000,0.300,0.180
960,220.00,810.91,178,2.012,408.1,0.177,0.106,0.146,0.057,0.109,0.066,0.223,0.117
961,801.00,809.55,418,1.843,408.3,0.167,0.111,0.056,0.086,0.074,0.074,0.228,0.204
962,728.00,809.75,653,0.860,408.5,0.000,0.000,0.000,0.000,0.013,0.000,0.481,0.506
963,769.00,812.25,628,1.956,409.3,0.115,0.086,0.115,0.086,0.095,0.102,0.197,0.204
964,567.00,809.15,560,1.982,410.0,0.098,0.100,0.061,0.082,0.104,0.112,0.222,0.220
965,991.00,810.04,620,1.940,410.4,0.147,0.140,0.077,0.085,0.074,0.103,0.210,0.165
966,738.00,808.65,595,1.985,410.9,0.145,0.198,0.075,0.066,0.085,0.057,0.176,0.198
967,1028.00,812.36,880,1.872,411.2,0.160,0.110,0.099,0.066,0.083,0.044,0.271,0.166
968,965.00,808.92,949,1.665,411.3,0.037,0.159,0.049,0.073,0.073,0.000,0.378,0.232
969,879.00,808.86,804,1.927,411.7,0.070,0.111,0.123,0.098,0.098,0.061,0.250,0.189
970,1088.00,808.12,1043,1.911,411.9,0.046,0.176,0.160,0.183,0.092,0.008,0.168,0.168
971,490.00,798.32,441,2.002,412.3,0.126,0.080,0.189,0.067,0.139,0.059,0.248,0.092
972,828.00,794.71,547,1.991,412.6,0.148,0.148,0.210,0.111,0.086,0.043,0.148,0.105
973,729.00,795.93,698,2.016,413.0,0.143,0.095,0.150,0.103,0.106,0.092,0.176,0.136
974,395.00,790.39,374,1.963,413.1,0.152,0.071,0.091,0.091,0.192,0.040,0.313,0.051
975,1022.00,790.09,939,2.018,413.5,0.122,0.098,0.122,0.110,0.151,0.106,0.200,0.090
976,522.00,779.35,492,2.031,413.9,0.128,0.097,0.153,0.135,0.132,0.115,0.142,0.097
977,616.00,771.32,389,2.019,414.2,0.115,0.089,0.153,0.140,0.134,0.045,0.223,0.102
978,814.00,774.05,726,1.963,414.3,0.050,0.188,0.225,0.125,0.113,0.037,0.188,0.075
979,224.00,769.75,209,2.042,414.6,0.200,0.114,0.155,0.114,0.114,0.064,0.136,0.105
980,338.00,755.96,253,2.063,415.0,0.120,0.125,0.130,0.134,0.139,0.139,0.116,0.097
981,663.00,748.66,556,2.063,415.4,0.122,0.115,0.145,0.145,0.095,0.151,0.109,0.118
982,840.00,752.79,712,2.054,416.0,0.149,0.129,0.170,0.134,0.084,0.120,0.137,0.077
983,964.00,759.13,747,2.032,416.5,0.164,0.115,0.164,0.123,0.086,0.126,0.141,0.082
984,1271.00,761.69,1096,1.960,416.6,0.137,0.147,0.179,0.084,0.095,0.105,0.158,0.095
985,744.00,755.34,693,2.025,416.9,0.143,0.078,0.184,0.101,0.115,0.129,0.161,0.088
986,596.00,752.51,487,2.033,417.7,0.182,0.112,0.130,0.124,0.094,0.160,0.096,0.104
987,997.00,757.28,919,2.005,418.1,0.195,0.096,0.172,0.092,0.059,0.155,0.149,0.083
988,184.00,752.66,174,1.999,418.3,0.212,0.075,0.178,0.096,0.027,0.116,0.226,0.068
989,260.00,748.76,232,2.024,418.7,0.149,0.158,0.116,0.108,0.062,0.166,0.145,0.095
990,638.00,751.46,574,2.016,419.0,0.214,0.107,0.107,0.102,0.056,0.184,0.148,0.082
991,472.00,745.00,453,2.034,419.5,0.165,0.087,0.119,0.145,0.100,0.174,0.119,0.090
992,1318.00,751.25,1192,2.009,419.7,0.160,0.110,0.117,0.141,0.098,0.166,0.110,0.098
993,1054.00,756.57,711,1.899,419.9,0.160,0.032,0.181,0.160,0.032,0.266,0.085,0.085
994,300.00,751.04,265,2.013,420.4,0.093,0.090,0.230,0.128,0.105,0.195,0.096,0.064
995,847.00,755.45,549,1.983,420.6,0.152,0.061,0.152,0.202,0.051,0.141,0.152,0.091
996,1108.00,757.00,865,1.945,420.7,0.148,0.057,0.159,0.193,0.068,0.159,0.170,0.045
997,704.00,753.89,331,2.026,421.3,0.159,0.116,0.157,0.162,0.093,0.131,0.096,0.086
998,387.00,752.56,363,1.948,421.4,0.198,0.042,0.125,0.167,0.042,0.094,0.260,0.073
999,783.00,744.54,676,1.738,421.6,0.106,0.015,0.121,0.167,0.015,0.152,0.379,0.045
1000,997.00,748.28,848,2.023,422.3,0.158,0.091,0.095,0.165,0.089,0.154,0.140,0.107
1001,724.00,750.57,709,1.812,422.5,0.082,0.024,0.106,0.082,0.118,0.129,0.412,0.047
1002,667.00,747.92,494,1.608,422.6,0.034,0.011,0.091,0.068,0.159,0.057,0.455,0.125
1003,561.00,741.87,497,1.677,422.9,0.080,0.007,0.066,0.095,0.124,0.044,0.482,0.102
1004,64.00,738.86,64,0.341,423.0,0.000,0.000,0.000,0.022,0.000,0.000,0.933,0.044
1005,386.00,733.30,286,1.979,423.5,0.074,0.026,0.157,0.131,0.111,0.197,0.203,0.100
1006,245.00,730.15,235,1.937,423.9,0.082,0.046,0.114,0.154,0.089,0.093,0.257,0.164
1007,655.00,731.70,539,1.889,424.3,0.080,0.034,0.083,0.167,0.125,0.076,0.288,0.148
1008,538.00,725.63,505,1.865,424.5,0.087,0.055,0.063,0.142,0.102,0.071,0.346,0.134
1009,767.00,727.70,763,1.798,424.7,0.047,0.047,0.023,0.233,0.070,0.035,0.372,0.174
1010,372.00,721.38,253,1.986,425.0,0.086,0.056,0.040,0.152,0.141,0.071,0.293,0.162
1011,650.00,718.94,650,1.661,425.1,0.050,0.075,0.000,0.150,0.025,0.025,0.425,0.250
1012,465.00,712.07,465,2.017,425.4,0.111,0.093,0.080,0.124,0.124,0.111,0.204,0.151
1013,366.00,710.12,347,2.008,425.7,0.071,0.115,0.064,0.199,0.135,0.064,0.199,0.154
1014,944.00,700.19,921,1.917,425.8,0.094,0.094,0.055,0.118,0.157,0.047,0.197,0.236
1015,532.00,695.86,501,2.047,426.3,0.066,0.080,0.080,0.208,0.138,0.138,0.145,0.145
1016,900.00,697.16,805,2.058,426.8,0.102,0.150,0.092,0.163,0.097,0.115,0.118,0.163
1017,1035.00,700.57,967,2.060,428.0,0.144,0.123,0.110,0.144,0.097,0.149,0.108,0.123
1018,1164.00,701.83,887,2.021,428.3,0.115,0.131,0.085,0.215,0.154,0.069,0.154,0.077
1019,738.00,705.02,608,1.986,428.6,0.181,0.103,0.070,0.218,0.099,0.066,0.128,0.136
1020,695.00,701.55,452,1.995,428.9,0.198,0.153,0.073,0.186,0.062,0.056,0.141,0.130
1021,395.00,698.94,308,2.036,429.6,0.127,0.119,0.119,0.207,0.083,0.054,0.159,0.132
1022,1137.00,707.25,890,1.972,430.3,0.180,0.069,0.103,0.160,0.101,0.153,0.121,0.113
1023,640.00,708.20,553,1.968,430.8,0.211,0.020,0.109,0.176,0.136,0.114,0.084,0.149
1024,561.00,707.21,496,1.874,431.1,0.283,0.012,0.114,0.133,0.169,0.096,0.133,0.060
1025,851.00,710.86,788,1.981,432.0,0.177,0.029,0.113,0.156,0.183,0.136,0.115,0.091
1026,722.00,712.78,549,1.967,432.5,0.230,0.022,0.110,0.138,0.157,0.104,0.138,0.101
1027,412.00,711.36,306,1.878,432.7,0.085,0.000,0.123,0.151,0.085,0.274,0.236,0.047
1028,388.00,705.69,238,2.003,433.3,0.109,0.035,0.129,0.129,0.225,0.124,0.131,0.119
1029,482.00,706.17,213,1.951,433.7,0.169,0.024,0.145,0.096,0.185,0.137,0.141,0.104
1030,664.00,702.53,627,1.996,434.3,0.149,0.048,0.162,0.129,0.142,0.142,0.129,0.099
1031,841.00,706.68,814,1.782,434.4,0.153,0.000,0.153,0.153,0.042,0.097,0.306,0.097
1032,1260.00,714.15,796,1.772,434.6,0.177,0.000,0.241,0.127,0.076,0.152,0.127,0.101
1033,411.00,714.87,409,1.843,434.7,0.259,0.000,0.130,0.185,0.093,0.074,0.204,0.056
1034,1154.00,718.60,768,1.897,435.0,0.220,0.018,0.244,0.122,0.073,0.079,0.152,0.091
1035,403.00,716.23,398,1.903,435.3,0.263,0.006,0.180,0.114,0.084,0.066,0.162,0.126
1036,848.00,721.18,700,1.418,435.4,0.091,0.000,0.121,0.045,0.015,0.394,0.303,0.030
1037,498.00,717.96,245,1.937,435.6,0.230,0.000,0.158,0.138,0.151,0.118,0.151,0.053
1038,1295.00,728.23,1269,1.677,435.8,0.194,0.000,0.125,0.153,0.069,0.306,0.111,0.042
1039,737.00,720.74,487,1.946,436.1,0.216,0.012,0.114,0.159,0.098,0.139,0.139,0.122
1040,587.00,722.08,538,1.956,436.5,0.293,0.014,0.115,0.096,0.139,0.120,0.120,0.101
1041,808.00,722.40,637,1.953,436.8,0.191,0.019,0.182,0.172,0.086,0.158,0.091,0.100
1042,598.00,719.27,579,1.988,437.4,0.157,0.050,0.198,0.144,0.089,0.144,0.110,0.110
1043,705.00,719.05,404,1.884,437.7,0.299,0.025,0.185,0.076,0.083,0.115,0.096,0.121
1044,435.00,715.28,427,1.906,438.0,0.194,0.000,0.181,0.071,0.161,0.142,0.155,0.097
1045,1378.00,722.66,1143,1.531,438.1,0.159,0.000,0.095,0.000,0.032,0.190,0.492,0.032
1046,563.00,717.61,552,1.880,438.2,0.311,0.000,0.100,0.056,0.144,0.100,0.189,0.100
1047,895.00,720.08,624,1.931,438.5,0.207,0.000,0.136,0.079,0.200,0.114,0.136,0.129
1048,844.00,714.86,844,1.329,438.5,0.104,0.000,0.042,0.000,0.125,0.271,0.458,0.000
1049,1269.00,717.91,1143,1.582,438.7,0.091,0.000,0.061,0.045,0.212,0.182,0.409,0.000
1050,456.00,710.71,160,1.988,438.9,0.129,0.026,0.123,0.155,0.206,0.148,0.181,0.032
1051,725.00,710.73,725,1.367,439.0,0.053,0.000,0.018,0.000,0.123,0.298,0.474,0.035
1052,785.00,710.98,725,1.754,439.2,0.092,0.039,0.066,0.066,0.145,0.171,0.368,0.053
1053,505.00,710.02,440,2.040,439.7,0.133,0.055,0.122,0.160,0.182,0.116,0.105,0.127
1054,610.00,709.70,503,1.998,440.0,0.186,0.027,0.173,0.124,0.137,0.102,0.124,0.128
1055,1123.00,716.81,881,1.968,440.4,0.128,0.030,0.162,0.132,0.191,0.149,0.072,0.136
1056,1099.00,718.25,725,1.827,440.6,0.178,0.000,0.163,0.101,0.202,0.217,0.039,0.101
1057,713.00,716.86,687,1.987,441.2,0.169,0.052,0.162,0.107,0.164,0.145,0.076,0.124
1058,1028.00,717.01,726,1.981,441.9,0.115,0.059,0.156,0.132,0.141,0.176,0.062,0.159
1059,1198.00,723.70,595,1.880,442.2,0.212,0.006,0.128,0.083,0.173,0.192,0.045,0.160
1060,870.00,730.20,846,2.025,443.3,0.132,0.064,0.160,0.118,0.160,0.130,0.091,0.144
1061,1140.00,733.59,570,1.845,443.6,0.309,0.028,0.171,0.099,0.127,0.166,0.033,0.066
1062,1086.00,737.17,1017,1.960,444.2,0.235,0.048,0.154,0.124,0.121,0.159,0.051,0.109
1063,950.00,738.98,928,2.022,445.2,0.204,0.048,0.137,0.116,0.130,0.134,0.102,0.129
1064,1613.00,749.44,995,1.579,445.5,0.193,0.027,0.080,0.053,0.060,0.220,0.033,0.333
1065,1118.00,750.71,929,1.845,446.0,0.173,0.064,0.061,0.070,0.091,0.161,0.061,0.319
1066,1419.00,757.52,1038,1.817,446.3,0.206,0.069,0.077,0.103,0.086,0.129,0.064,0.266
1067,1198.00,759.22,698,1.855,446.8,0.193,0.050,0.059,0.043,0.087,0.168,0.047,0.354
1068,1557.00,765.14,1476,1.851,447.2,0.196,0.073,0.087,0.058,0.069,0.204,0.076,0.236
1069,1222.00,768.57,1110,1.974,447.8,0.171,0.108,0.098,0.060,0.093,0.207,0.076,0.186
1070,1140.00,769.09,459,1.816,448.1,0.123,0.093,0.105,0.012,0.062,0.210,0.031,0.364
1071,558.00,769.77,542,1.973,448.9,0.154,0.106,0.128,0.080,0.109,0.144,0.085,0.194
1072,487.00,766.36,333,1.969,449.3,0.126,0.109,0.080,0.050,0.122,0.181,0.059,0.273
1073,626.00,765.33,497,2.032,450.2,0.123,0.100,0.095,0.095,0.100,0.163,0.124,0.199
1074,1387.00,775.25,935,1.915,450.5,0.123,0.099,0.115,0.066,0.111,0.193,0.078,0.214
1075,1042.00,775.45,501,1.623,450.7,0.109,0.069,0.099,0.000,0.069,0.475,0.040,0.139
1076,698.00,777.21,457,1.810,450.9,0.098,0.091,0.121,0.000,0.061,0.394,0.053,0.182
1077,1174.00,782.79,1064,1.945,451.3,0.182,0.054,0.093,0.027,0.120,0.225,0.085,0.213
1078,654.00,781.19,452,1.992,452.2,0.132,0.127,0.072,0.057,0.108,0.212,0.081,0.210
1079,1064.00,789.59,506,1.848,452.5,0.174,0.090,0.250,0.021,0.118,0.146,0.049,0.153
1080,889.00,795.10,863,2.037,453.5,0.127,0.090,0.172,0.095,0.129,0.138,0.077,0.172
1081,984.00,798.31,899,1.973,454.0,0.151,0.091,0.100,0.103,0.112,0.211,0.057,0.175
1082,659.00,796.50,320,1.891,454.4,0.031,0.172,0.211,0.035,0.181,0.225,0.022,0.123
1083,533.00,792.19,364,1.994,454.7,0.036,0.189,0.116,0.100,0.133,0.245,0.060,0.120
1084,915.00,788.63,488,1.996,455.1,0.099,0.103,0.137,0.103,0.133,0.189,0.056,0.180
1085,550.00,786.69,466,2.018,455.7,0.087,0.135,0.135,0.080,0.122,0.242,0.060,0.140
1086,755.00,788.28,663,1.927,455.9,0.092,0.178,0.197,0.033,0.099,0.197,0.053,0.151
1087,396.00,782.27,387,2.051,456.4,0.109,0.133,0.115,0.109,0.124,0.198,0.083,0.130
1088,1037.00,790.80,781,2.044,457.0,0.120,0.108,0.131,0.092,0.120,0.184,0.087,0.159
1089,1287.00,801.07,979,2.037,457.4,0.177,0.090,0.109,0.154,0.143,0.147,0.079,0.102
1090,1278.00,807.47,888,1.868,457.7,0.096,0.199,0.167,0.077,0.199,0.128,0.051,0.083
1091,892.00,811.67,667,2.039,458.3,0.140,0.101,0.119,0.158,0.137,0.167,0.045,0.133
1092,809.00,806.58,776,2.035,459.2,0.148,0.082,0.100,0.135,0.152,0.171,0.071,0.140
1093,543.00,801.47,474,2.008,459.9,0.143,0.135,0.076,0.132,0.137,0.175,0.049,0.152
1094,1124.00,809.71,862,1.891,460.2,0.169,0.194,0.100,0.134,0.090,0.154,0.040,0.119
1095,1367.00,814.91,283,1.842,460.4,0.133,0.313,0.087,0.207,0.067,0.080,0.060,0.053
1096,570.00,809.53,508,2.038,461.5,0.192,0.142,0.119,0.145,0.125,0.088,0.083,0.106
1097,987.00,812.36,874,1.999,462.0,0.161,0.152,0.118,0.124,0.121,0.060,0.069,0.195
1098,1137.00,819.86,1005,2.034,462.6,0.187,0.099,0.139,0.130,0.108,0.082,0.079,0.176
1099,717.00,819.20,642,2.043,463.2,0.168,0.118,0.108,0.118,0.113,0.104,0.097,0.175
1100,869.00,817.92,683,1.706,463.3,0.049,0.073,0.134,0.037,0.402,0.024,0.134,0.146
1101,851.00,819.19,325,1.862,463.6,0.058,0.129,0.148,0.026,0.226,0.058,0.097,0.258
1102,1180.00,824.32,1175,2.009,464.4,0.126,0.071,0.126,0.065,0.141,0.134,0.101,0.235
1103,734.00,826.05,665,1.946,464.7,0.084,0.056,0.164,0.042,0.248,0.098,0.065,0.243
1104,706.00,832.47,582,2.042,466.1,0.151,0.128,0.144,0.110,0.144,0.088,0.087,0.148
1105,821.00,836.82,723,1.984,466.6,0.195,0.096,0.099,0.087,0.140,0.152,0.120,0.111
1106,550.00,839.87,508,2.005,467.1,0.211,0.066,0.076,0.112,0.145,0.163,0.130,0.097
1107,1202.00,845.34,1014,1.878,467.2,0.208,0.066,0.104,0.057,0.208,0.198,0.094,0.066
1108,1070.00,850.66,1042,2.000,467.9,0.203,0.083,0.076,0.078,0.100,0.172,0.144,0.144
1109,860.00,851.59,763,2.022,468.5,0.187,0.090,0.082,0.105,0.079,0.176,0.146,0.136
1110,955.00,857.42,921,1.887,468.8,0.190,0.146,0.108,0.038,0.127,0.114,0.247,0.032
1111,259.00,853.51,259,1.693,468.9,0.172,0.172,0.047,0.016,0.094,0.047,0.422,0.031
1112,319.00,852.05,303,1.930,469.2,0.309,0.124,0.096,0.073,0.062,0.107,0.174,0.056
1113,363.00,852.02,286,1.966,469.5,0.245,0.111,0.087,0.123,0.095,0.099,0.194,0.047
1114,1330.00,855.88,1288,2.022,470.5,0.210,0.116,0.101,0.131,0.134,0.098,0.122,0.088
1115,428.00,854.84,298,2.020,471.1,0.238,0.091,0.067,0.127,0.106,0.125,0.156,0.089
1116,1200.00,857.84,1122,1.700,471.3,0.161,0.333,0.092,0.011,0.069,0.069,0.241,0.023
1117,491.00,852.40,456,2.004,471.6,0.217,0.199,0.093,0.062,0.106,0.111,0.146,0.066
1118,451.00,845.27,423,2.018,472.0,0.198,0.155,0.099,0.123,0.095,0.083,0.155,0.091
1119,335.00,841.24,164,2.024,472.2,0.221,0.141,0.094,0.047,0.101,0.121,0.168,0.107
1120,1437.00,848.66,1215,1.882,472.4,0.097,0.210,0.250,0.040,0.065,0.121,0.153,0.065
1121,210.00,846.81,207,2.061,472.8,0.144,0.108,0.108,0.136,0.100,0.132,0.156,0.116
1122,956.00,845.00,525,2.029,473.0,0.159,0.133,0.115,0.106,0.071,0.186,0.150,0.080
1123,878.00,847.38,790,2.020,473.3,0.072,0.144,0.154,0.087,0.092,0.195,0.154,0.103
1124,775.00,849.52,656,1.975,473.6,0.129,0.161,0.113,0.054,0.108,0.242,0.129,0.065
1125,1362.00,854.63,845,1.907,473.8,0.114,0.121,0.134,0.040,0.141,0.228,0.174,0.047
1126,320.00,850.61,303,1.948,474.1,0.086,0.141,0.106,0.020,0.126,0.242,0.197,0.081
1127,537.00,851.86,391,1.930,474.3,0.120,0.158,0.083,0.030,0.173,0.180,0.180,0.075
