episode,phase,dep_agent,dep_opp,win_rate,ship_kl,ship_entropy,ship_vloss,clipfrac,spawn_kl,lambda_bc,my_wrecks,enemy_kills,dropoffs,spawns,peak_ships,n_steps,secs
1,warmup,15771.5,5463.5,1.0,0.0,0.0,1.3516931814119821,0.0,0.0,1.0,88,2,3,142,34,40027,69.8
2,warmup,13550.833333333334,12573.333333333334,0.6666666666666666,0.0,0.0,1.1698557506161003,0.0,0.0,0.994,114,8,2,189,52,48673,83.3
3,warmup,8457.333333333334,8053.0,0.6666666666666666,0.0,0.0,0.5867616933770478,0.0,0.0,0.988,86,3,0,156,35,40953,74.9
4,warmup,9891.0,9700.0,0.8333333333333334,0.0,0.0,0.8520692389515231,0.0,0.0,0.982,91,3,1,148,34,39043,65.4
5,warmup,14183.166666666666,12792.166666666666,0.6666666666666666,0.0,0.0,1.0703713329676985,0.0,0.0,0.9760000000000001,101,1,1,172,34,46231,74.6
6,warmup,12326.166666666666,9887.0,0.5,0.0,0.0,1.1869356875225223,0.0,0.0,0.97,79,2,2,120,24,35437,62.5
7,warmup,11426.666666666666,9369.0,0.6666666666666666,0.0,0.0,1.0211086485600263,0.0,0.0,0.964,94,3,1,144,41,38900,65.5
8,warmup,15350.0,18391.166666666668,0.5,0.0,0.0,0.8297637694786679,0.0,0.0,0.9580000000000001,103,2,2,139,32,40532,67.9
9,warmup,10615.5,6839.0,0.8333333333333334,0.0,0.0,1.5617640212603978,0.0,0.0,0.952,107,7,4,181,45,44689,72.7
10,warmup,11842.5,27982.833333333332,0.3333333333333333,0.0,0.0,0.8473967029259049,0.0,0.0,0.946,86,2,1,130,38,37490,67.3
11,warmup,12442.5,9396.166666666666,0.8333333333333334,0.0,0.0,1.3088818051405913,0.0,0.0,0.9400000000000001,80,5,3,165,42,43074,69.5
12,warmup,10002.333333333334,8678.666666666666,0.6666666666666666,0.0,0.0,0.9433659532122196,0.0,0.0,0.9339999999999999,96,4,1,161,47,42891,69.7
13,warmup,10221.0,15118.833333333334,0.5,0.0,0.0,0.9579814286033312,0.0,0.0,0.928,86,4,2,135,35,38220,62.3
14,warmup,10895.833333333334,11150.666666666666,0.5,0.0,0.0,1.134838894561485,0.0,0.0,0.922,84,1,2,135,30,36662,67.6
15,warmup,9006.0,12648.833333333334,0.5,0.0,0.0,0.7379202363015426,0.0,0.0,0.9159999999999999,93,6,1,148,32,41991,77.8
16,ppo,19459.5,18643.166666666668,0.5,0.0007251702645878559,0.16791267554083514,2.016426647939379,0.024453624731875838,-0.00012161123514620916,0.91,114,4,3,166,33,42819,77.9
17,ppo,13784.333333333334,12809.333333333334,0.5,0.0015664881504750972,0.15365293832688495,1.5548910332822252,0.024279099291768566,-0.0001669314146662456,0.904,103,7,2,134,24,37025,70.3
18,ppo,10796.666666666666,16621.0,0.5,0.0019338273452270405,0.1721803798794522,0.7824462220044683,0.02587982580037665,9.457261249824119e-05,0.898,105,4,1,174,39,45066,82.2
19,ppo,21458.5,11880.5,0.8333333333333334,0.0009601464057292712,0.15549508398398756,2.0535497502113382,0.025118607321443658,-3.48979919389573e-05,0.892,90,4,5,148,40,40751,72.9
20,ppo,9242.0,5199.833333333333,0.6666666666666666,0.002235501644290274,0.1366214360367684,1.0359612951392219,0.023601540617999576,0.00016320138238370418,0.886,100,5,1,169,41,44629,86.8
21,ppo,10568.166666666666,14718.666666666666,0.6666666666666666,0.0022711726932365317,0.13997141354054482,1.2015656102616508,0.02693264998562701,-2.9467846934494447e-05,0.88,76,5,2,139,33,37654,71.3
22,ppo,16218.666666666666,8475.5,0.6666666666666666,0.002112845075316727,0.18047163251412007,1.6789651530426601,0.030986450814692548,0.00016937921884364234,0.874,105,2,2,171,42,43921,78.2
23,ppo,13435.333333333334,9768.166666666666,0.8333333333333334,0.0012142909291634565,0.17918099241354798,1.1881254062622408,0.027854943828743723,0.0006808321753245158,0.868,115,3,1,155,31,40423,71.9
24,ppo,15774.5,5063.5,0.8333333333333334,0.002819083825322903,0.1548158836033609,1.8696950872739155,0.02385243055307203,0.0002317219034826697,0.862,96,6,3,137,30,38244,65.9
25,ppo,18636.666666666668,7151.333333333333,1.0,0.0017773227967808171,0.16668896837902897,1.1245436834921496,0.02766846444795127,8.293944921966557e-08,0.856,105,4,2,162,31,44039,76.1
26,ppo,9577.833333333334,6127.833333333333,0.6666666666666666,0.0015123388128395559,0.12627658522752144,1.1134408061085839,0.02218770713010836,3.1064782130367045e-07,0.8500000000000001,93,2,2,166,36,43130,73.4
27,ppo,8792.0,10404.166666666666,0.6666666666666666,0.0030033136079361286,0.11669575981384608,0.6889419043498324,0.02389406877473227,3.033007184664409e-08,0.844,91,4,0,140,28,38438,69.5
28,ppo,10173.333333333334,10599.5,0.6666666666666666,0.001962503468134153,0.13938707531225392,0.56084779168411,0.02439308928219768,2.1730860074361167e-09,0.8380000000000001,94,4,0,151,34,41901,74.6
29,ppo,13687.5,15814.166666666666,0.5,0.0018126453093104135,0.16474893379073613,1.204558728517595,0.026889565061627096,4.3365897416454875e-06,0.8320000000000001,91,5,2,171,48,44264,77.7
30,ppo,12203.333333333334,5457.166666666667,0.8333333333333334,0.0016742652077588011,0.16002519967970927,1.2499688688398065,0.02765328735524778,0.0005290172001372717,0.826,107,3,3,180,41,46151,76.9
31,ppo,9418.166666666666,25764.666666666668,0.0,0.004280400463251462,0.13093153587703046,0.6291535807752061,0.025333274078780207,1.767443288021771e-08,0.8200000000000001,79,0,0,119,33,36961,70.9
32,ppo,18998.0,8814.333333333334,1.0,0.0015954023227577655,0.16113898523660922,1.1712992082101217,0.024550572702927247,0.00018998762696185168,0.8140000000000001,114,3,2,149,33,41049,70.6
33,ppo,10820.5,7823.666666666667,0.8333333333333334,0.002842322213850804,0.15211900198057796,1.236431873804621,0.027647199485911413,2.716878532534513e-05,0.8079999999999999,95,4,3,168,33,45399,77.1
34,ppo,13743.0,15575.833333333334,0.6666666666666666,0.005832865964573073,0.15628621704778203,0.9442924818974655,0.030727275022833473,0.000245910770415018,0.802,93,4,2,163,40,45196,77.5
35,ppo,11309.0,6705.333333333333,0.6666666666666666,0.0009317751820769141,0.15259840255991244,1.597635839600116,0.027068549262670178,0.00039039731491357087,0.796,77,4,3,127,25,32662,61.4
36,ppo,16600.833333333332,13542.0,0.5,0.0019018889149828326,0.1485411746193578,1.466680108146234,0.02710255753506959,3.831012485425352e-05,0.7899999999999999,102,2,2,140,31,39263,69.3
37,ppo,13111.333333333334,5347.833333333333,0.8333333333333334,0.0017579335679218991,0.14914691666931365,1.0354871362109075,0.024706096741173304,0.0010493211383518996,0.784,102,3,1,172,41,44876,77.0
38,ppo,14912.166666666666,4804.166666666667,0.8333333333333334,0.003064369855087495,0.1743572676274443,1.1724712283500118,0.02861884715025907,9.52213148882682e-05,0.778,109,8,3,187,38,49184,80.3
39,ppo,12801.666666666666,14260.5,0.6666666666666666,0.0019461726852620731,0.14079095795750618,0.9690249120074559,0.023288607989188012,3.83810360088462e-05,0.7719999999999999,109,2,1,160,34,41805,75.3
40,ppo,16740.333333333332,11709.666666666666,0.6666666666666666,0.002500028408187706,0.15446269408835128,1.3646194888174668,0.025984843459472027,-1.2695375415224438e-06,0.766,89,1,2,137,48,38097,70.8
41,ppo,13947.833333333334,13646.5,0.6666666666666666,0.0028671235256304997,0.13022820427058598,1.1629398035315366,0.024878376832184117,-2.3210524742485934e-06,0.76,88,3,2,135,30,39715,71.9
42,ppo,9734.0,15491.166666666666,0.5,0.002959608997588782,0.1535175095139068,0.5984993353623272,0.02741577099274645,-1.5935964547963977e-09,0.754,103,4,0,179,40,46254,83.7
43,ppo,17357.166666666668,9700.333333333334,0.8333333333333334,0.002529111811300149,0.1714100669423452,1.322717196672351,0.027393926631278844,0.00028929780108025345,0.748,94,5,3,164,31,44038,78.6
44,ppo,12904.0,22806.666666666668,0.3333333333333333,0.0031511875718302153,0.14313332693583053,0.6657792752897969,0.02442831332497884,8.692344029744466e-10,0.742,118,6,0,180,43,48687,87.1
45,ppo,21085.5,25934.5,0.5,0.003292846484392866,0.17744539078301605,1.3957113719211434,0.03083235062893082,-9.132405458274206e-05,0.736,116,4,3,146,38,40512,82.5
46,ppo,16796.166666666668,9231.0,0.8333333333333334,0.0021179738687351346,0.17036473133306407,1.1684204776283085,0.02740683872096702,0.0002894389029189407,0.73,125,1,1,200,55,50769,94.5
47,ppo,17723.666666666668,11341.166666666666,0.8333333333333334,0.0032242221923420287,0.16133171087938408,1.0059897706687795,0.026902195733751175,0.0002903876826168587,0.724,111,4,2,169,36,44044,80.3
48,ppo,19034.833333333332,4270.166666666667,1.0,0.00435156203580267,0.15530661697768924,1.1118447427620541,0.03030483291032149,0.0009426155606197047,0.718,97,4,2,184,49,50192,99.7
49,ppo,12911.5,15544.666666666666,0.5,0.003369543778913312,0.18087716554300123,0.9489652558914206,0.02910224192571684,-0.0003977453116628264,0.712,115,4,1,188,46,46125,92.6
50,ppo,15236.666666666666,9948.0,0.6666666666666666,0.0021541925918843064,0.1632784389739945,1.3004908808640072,0.02660158490850812,0.000368634277644612,0.706,99,4,2,168,37,44627,80.4
51,ppo,7791.833333333333,13139.5,0.5,0.003955538493413516,0.12172658488550557,0.6653031921947417,0.024738336214319572,1.9661254402336683e-09,0.7000000000000001,88,2,0,152,34,41709,78.4
52,ppo,15093.0,19076.166666666668,0.3333333333333333,0.0018356335036216946,0.1458141590826228,0.7241257831715701,0.02617111354957373,0.00022556133464301335,0.694,101,3,0,156,34,43616,81.8
53,ppo,13397.5,8523.833333333334,0.6666666666666666,0.002298967095585604,0.15321125469052096,0.8771680406329968,0.028063739851577996,-2.092371384302775e-08,0.688,110,4,1,195,49,49496,88.1
54,ppo,11889.333333333334,14891.666666666666,0.6666666666666666,0.0031336322550266755,0.12245019723649149,0.5636259044210116,0.023671826690403155,-1.241763432820638e-10,0.682,93,1,0,133,37,39224,73.6
55,ppo,15058.0,6223.166666666667,1.0,0.0024451703116435846,0.17484302629501985,1.1596406594509596,0.031278680249632894,-0.0003543519777167603,0.676,111,6,4,228,46,58016,97.6
56,ppo,12615.833333333334,9796.833333333334,0.6666666666666666,0.002836439188446521,0.1736076336500107,1.6307645169835465,0.02942133887086575,0.009800012564907472,0.6699999999999999,89,0,3,141,35,34680,69.4
57,ppo,12785.0,7848.333333333333,0.8333333333333334,0.004327734850172724,0.1576963822515015,0.8016808616033191,0.02847429808963864,1.7577368364829482e-06,0.664,115,5,1,183,37,48677,86.5
58,ppo,13417.833333333334,9582.333333333334,0.6666666666666666,0.0033914727051384173,0.16170249948134788,0.7825061155180646,0.02837816698110511,0.00022723029833287,0.658,120,4,1,191,59,49874,86.3
59,ppo,10682.0,17209.666666666668,0.6666666666666666,0.002370345503528229,0.14098921157239716,0.9346899580264437,0.028755036304178444,2.58479783750154e-06,0.6519999999999999,87,2,1,127,27,35133,71.6
60,ppo,13312.333333333334,6546.833333333333,0.8333333333333334,0.003190383287168246,0.149193502507276,0.9968397562150602,0.027967444379572517,6.152937809626261e-08,0.646,105,4,1,171,44,45947,82.3
61,ppo,9087.0,14521.333333333334,0.3333333333333333,0.0028510734361285963,0.141509793065405,0.7018731594485724,0.02526415161105077,9.724249644627037e-07,0.64,92,5,0,138,36,38034,75.4
62,ppo,23574.833333333332,12101.166666666666,0.8333333333333334,0.002684288027243514,0.1793153662213963,1.4049241857853603,0.0345380333274548,-4.0891011343783625e-06,0.6339999999999999,112,4,4,177,40,46223,86.0
63,ppo,14252.333333333334,14636.0,0.5,0.0014987975864072585,0.14726868623088957,1.0216298538018327,0.027334488976342025,5.383323878131267e-06,0.628,110,2,2,173,36,46167,101.2
64,ppo,10389.333333333334,7971.333333333333,0.5,0.0025116875789824725,0.1421026670613643,0.6874853510004251,0.02449815735117965,2.0120603342851004e-06,0.6220000000000001,97,2,1,179,40,49394,106.8
65,ppo,13106.333333333334,15727.0,0.3333333333333333,0.0033532886347803536,0.13523055087494593,1.0430895575111911,0.025264150240728932,0.00046281878215571247,0.6159999999999999,102,3,2,145,32,39433,97.0
66,ppo,15953.5,7709.833333333333,1.0,0.004002113278403661,0.15973726250110706,0.6567914253492572,0.030708257295794086,-5.340896960722338e-06,0.61,118,4,0,187,34,52617,92.7
67,ppo,15280.0,13779.333333333334,0.5,0.00175823763506294,0.16423521614239417,0.8101411790993959,0.02897371546025927,0.0002639066170862255,0.6040000000000001,103,4,2,192,41,49322,88.0
68,ppo,22261.666666666668,12263.5,0.6666666666666666,0.001648304952362601,0.17373261913266522,0.9656603869873933,0.029348328491596135,-1.656405834656501e-05,0.598,99,2,2,167,36,45430,82.6
69,ppo,9224.5,17079.5,0.6666666666666666,0.003346033345517372,0.13032454519823033,0.6654521961365977,0.02606299110958653,5.678299606396801e-06,0.592,94,6,0,154,46,39554,76.5
70,ppo,20719.833333333332,11718.166666666666,0.8333333333333334,0.003273514725592439,0.17538080268511266,1.1898956907517981,0.034010363076672406,-3.0605867020009705e-07,0.5860000000000001,127,1,2,216,50,56307,94.8
71,ppo,11258.5,13071.0,0.6666666666666666,0.002419745539023107,0.1406757426150061,0.5657782740808743,0.022757832561239238,-3.614566425428715e-08,0.58,106,1,0,140,33,38461,75.6
72,ppo,15015.833333333334,13285.5,0.6666666666666666,0.0035717656957511027,0.15789855729719127,0.8189541741927958,0.030601824284772202,-0.0001631262272389448,0.574,94,7,1,153,39,41166,77.3
73,ppo,10078.833333333334,17541.666666666668,0.3333333333333333,0.0016500070203619543,0.16710513071157038,0.712929729372263,0.030368088946367302,-3.6379529368228227e-07,0.5680000000000001,87,3,1,155,51,40834,80.4
74,ppo,20757.166666666668,24882.666666666668,0.5,0.001273783083801565,0.17236475838337115,1.151529012861366,0.030299777049801784,0.0008350147632932329,0.5619999999999999,119,0,3,157,36,42535,80.3
75,ppo,12595.666666666666,15187.5,0.5,0.0034678557387403603,0.15890371048829977,0.9771001717347777,0.029815945871983576,-7.223226712085306e-05,0.5559999999999999,111,3,3,171,36,45483,82.7
76,ppo,11999.666666666666,13188.666666666666,0.6666666666666666,0.0033557590475593556,0.14119715115893808,0.5047399751042242,0.025184062276239,2.8353598432081147e-09,0.55,114,3,0,161,33,45201,85.0
77,ppo,8620.166666666666,8908.166666666666,0.5,0.0038424231823499097,0.152587419732454,0.754759188926389,0.026940724211381682,2.4449727607134265e-05,0.5439999999999999,99,7,1,190,39,48040,85.2
78,ppo,19674.0,5684.833333333333,0.6666666666666666,0.004587316441542237,0.17585282716192777,0.9151390838723645,0.03439981524168439,2.6383269020395043e-05,0.538,115,5,2,159,38,40353,74.9
79,ppo,11007.166666666666,11536.5,0.6666666666666666,0.0037053598613111358,0.1217208458473543,0.574671370384497,0.023031210841296557,-1.3126163853183215e-06,0.532,97,3,0,136,27,39187,74.1
80,ppo,12813.833333333334,9742.5,0.6666666666666666,0.002781757303852249,0.14214378116708815,0.8897045319128518,0.027067550505050504,0.0003281319811421509,0.526,102,2,2,154,47,42048,76.8
81,ppo,12118.666666666666,15803.166666666666,0.5,0.002901686017341692,0.14072750860618222,0.9228034828168651,0.02899489317335085,-4.851155820991456e-06,0.52,101,5,1,192,41,49051,87.8
82,ppo,16734.666666666668,12949.5,0.6666666666666666,0.0029358671178222663,0.1590400535524601,0.6685207759340605,0.02843634849820759,-1.847872303718153e-05,0.514,92,8,0,154,45,42822,78.3
83,ppo,17259.666666666668,20673.5,0.3333333333333333,0.0028072665517410154,0.15436486629586593,1.0561484281338898,0.02897708966378488,0.0012937038360808135,0.508,104,2,1,155,37,43477,80.0
84,ppo,15437.333333333334,6017.5,1.0,0.0029153187022137954,0.15286973778769017,0.7234302901870419,0.029666589933205704,-3.3734198142261936e-05,0.502,114,5,1,176,43,46155,80.1
85,ppo,13995.0,6786.166666666667,0.8333333333333334,0.002458088963832115,0.1644372039607593,0.9748719207114643,0.03094370039919066,0.00010232087216704618,0.49599999999999994,120,8,2,215,40,53514,90.8
86,ppo,14248.333333333334,15003.333333333334,0.5,0.0009531370049948434,0.17267435440516854,1.125156214258757,0.030901374676859522,4.394932087355604e-06,0.49,117,3,1,166,48,42341,81.8
87,ppo,13759.0,20986.166666666668,0.5,0.0032076948413885184,0.16455283762224246,0.8757166468482854,0.030241777967427663,0.00016085137225066621,0.484,124,2,1,211,50,52955,91.1
