episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
66,2091.00,844.05,1133,1.531,24.0,0.457,0.081,0.013,0.045,0.314,0.081,0.009
67,1231.00,849.82,332,1.736,24.4,0.290,0.077,0.097,0.062,0.282,0.185,0.008
68,652.00,846.91,644,1.832,25.6,0.251,0.123,0.079,0.094,0.223,0.202,0.027
69,769.00,845.78,727,1.444,25.8,0.448,0.112,0.021,0.077,0.154,0.147,0.042
70,1127.00,849.80,1022,1.817,26.9,0.324,0.110,0.094,0.062,0.177,0.158,0.075
71,978.00,851.61,270,1.650,27.0,0.522,0.076,0.065,0.000,0.120,0.098,0.120
72,914.00,852.47,806,1.789,27.3,0.233,0.126,0.092,0.034,0.180,0.107,0.228
73,157.00,842.95,197,1.821,27.6,0.236,0.115,0.067,0.024,0.163,0.173,0.221
74,1285.00,848.92,1020,1.828,27.9,0.263,0.140,0.091,0.075,0.118,0.156,0.156
75,1254.00,854.32,1144,1.558,28.0,0.299,0.095,0.036,0.080,0.073,0.299,0.117
76,874.00,854.58,898,1.778,28.2,0.234,0.066,0.066,0.175,0.015,0.321,0.124
77,559.00,850.74,591,1.915,28.8,0.140,0.158,0.116,0.158,0.096,0.187,0.145
78,468.00,845.83,496,1.878,29.3,0.128,0.113,0.093,0.221,0.068,0.238,0.140
79,231.00,838.05,173,1.847,29.6,0.201,0.105,0.078,0.215,0.032,0.187,0.183
80,474.00,833.50,406,1.891,29.9,0.218,0.112,0.044,0.209,0.058,0.233,0.126
81,438.00,828.62,478,1.903,30.2,0.199,0.110,0.131,0.174,0.067,0.131,0.188
82,947.00,830.06,903,1.877,30.5,0.181,0.136,0.113,0.237,0.107,0.107,0.119
83,870.00,830.54,785,1.737,30.6,0.279,0.090,0.063,0.171,0.009,0.144,0.243
84,520.00,826.85,401,1.818,30.9,0.207,0.073,0.156,0.235,0.034,0.145,0.151
85,865.00,827.29,660,1.833,31.1,0.184,0.064,0.149,0.262,0.050,0.170,0.121
86,607.00,824.73,619,1.885,31.4,0.197,0.047,0.124,0.226,0.068,0.158,0.179
87,472.00,820.68,467,1.871,31.6,0.104,0.070,0.148,0.209,0.096,0.217,0.157
88,563.00,817.75,579,1.891,31.9,0.131,0.066,0.108,0.160,0.136,0.131,0.268
89,425.00,813.34,413,1.802,32.1,0.126,0.104,0.074,0.104,0.007,0.185,0.400
90,1587.00,821.93,1476,1.446,32.2,0.088,0.029,0.015,0.074,0.059,0.265,0.471
91,542.00,818.86,542,1.278,32.3,0.078,0.020,0.000,0.000,0.137,0.294,0.471
92,303.00,813.25,343,1.583,32.4,0.121,0.040,0.032,0.000,0.161,0.210,0.435
93,385.00,808.65,419,1.788,32.7,0.135,0.078,0.052,0.030,0.204,0.265,0.235
94,461.00,804.95,431,1.675,32.9,0.235,0.123,0.025,0.000,0.160,0.210,0.247
95,309.00,799.73,309,1.504,33.0,0.260,0.080,0.040,0.000,0.040,0.080,0.500
96,344.00,794.98,353,1.881,33.4,0.224,0.143,0.100,0.050,0.137,0.162,0.184
97,720.00,794.21,800,1.659,33.6,0.211,0.200,0.042,0.021,0.074,0.242,0.211
