episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
1475,984.00,697.14,884,1.800,510.3,0.188,0.079,0.149,0.109,0.099,0.218,0.158
1476,186.00,694.47,211,1.905,510.6,0.193,0.116,0.092,0.097,0.101,0.227,0.174
1477,489.00,695.01,459,1.902,510.9,0.168,0.137,0.163,0.121,0.132,0.184,0.095
1478,343.00,696.14,405,1.914,511.4,0.206,0.089,0.164,0.070,0.173,0.184,0.114
1479,1107.00,700.31,960,1.919,512.2,0.168,0.110,0.162,0.132,0.124,0.204,0.100
1480,1156.00,706.49,1062,1.862,512.4,0.192,0.083,0.175,0.108,0.083,0.258,0.100
1481,528.00,690.83,467,1.918,513.1,0.165,0.104,0.137,0.127,0.127,0.211,0.131
1482,403.00,689.39,376,1.881,513.2,0.272,0.173,0.074,0.086,0.062,0.284,0.049
1483,836.00,689.13,675,1.845,513.6,0.244,0.111,0.150,0.107,0.107,0.175,0.107
1484,640.00,687.50,545,1.823,513.9,0.323,0.149,0.149,0.037,0.043,0.174,0.124
1485,215.00,684.64,194,1.897,514.3,0.232,0.163,0.149,0.076,0.135,0.118,0.128
1486,506.00,680.55,475,1.909,514.8,0.205,0.149,0.146,0.104,0.143,0.156,0.097
1487,526.00,678.80,436,1.843,515.0,0.284,0.148,0.099,0.086,0.136,0.105,0.142
1488,1251.00,686.27,1205,1.897,515.8,0.185,0.127,0.112,0.105,0.172,0.197,0.101
1489,984.00,688.97,783,1.809,516.1,0.306,0.169,0.069,0.031,0.119,0.200,0.106
1490,809.00,691.31,769,1.803,516.4,0.256,0.146,0.075,0.050,0.136,0.231,0.106
1491,826.00,688.76,486,1.835,516.7,0.232,0.090,0.123,0.084,0.174,0.219,0.077
1492,580.00,693.84,529,1.894,517.3,0.196,0.139,0.103,0.116,0.131,0.178,0.137
1493,913.00,695.71,838,1.800,517.4,0.265,0.127,0.059,0.078,0.235,0.098,0.137
1494,752.00,697.76,680,1.890,518.1,0.245,0.158,0.097,0.102,0.153,0.158,0.087
1495,708.00,694.69,559,1.868,518.4,0.304,0.189,0.088,0.189,0.047,0.068,0.115
1496,656.00,686.79,609,1.886,518.9,0.243,0.105,0.094,0.123,0.098,0.207,0.130
1497,781.00,690.48,855,1.901,519.8,0.179,0.121,0.068,0.139,0.148,0.227,0.118
1498,229.00,686.63,243,1.793,520.1,0.078,0.137,0.026,0.072,0.157,0.288,0.242
1499,496.00,687.35,457,1.870,520.5,0.160,0.093,0.071,0.114,0.139,0.281,0.142
1500,613.00,684.41,540,1.586,520.8,0.124,0.077,0.031,0.113,0.093,0.397,0.165
1501,292.00,676.43,117,1.653,521.1,0.143,0.000,0.043,0.106,0.043,0.540,0.124
1502,292.00,659.29,262,1.634,521.4,0.092,0.033,0.033,0.124,0.092,0.320,0.307
1503,657.00,650.96,672,1.670,521.5,0.184,0.061,0.041,0.112,0.102,0.327,0.173
1504,585.00,651.95,577,1.018,521.6,0.038,0.000,0.000,0.019,0.058,0.519,0.365
1505,336.00,649.68,270,1.887,522.0,0.147,0.086,0.147,0.122,0.122,0.276,0.100
1506,489.00,650.13,415,1.879,522.5,0.193,0.099,0.091,0.199,0.108,0.205,0.105
1507,633.00,648.50,707,1.890,523.1,0.157,0.131,0.091,0.174,0.124,0.205,0.119
1508,149.00,640.88,229,1.913,523.6,0.099,0.133,0.063,0.181,0.205,0.187,0.133
1509,308.00,643.29,314,1.913,523.9,0.158,0.158,0.068,0.237,0.113,0.158,0.107
1510,688.00,645.38,624,1.921,524.5,0.126,0.167,0.128,0.187,0.149,0.159,0.085
1511,139.00,640.13,219,1.877,524.7,0.085,0.128,0.099,0.227,0.163,0.213,0.085
1512,368.00,635.75,283,1.903,525.2,0.125,0.140,0.128,0.226,0.136,0.179,0.066
1513,833.00,636.24,684,1.919,526.0,0.128,0.169,0.105,0.142,0.197,0.173,0.086
1514,605.00,639.50,336,1.845,526.3,0.142,0.123,0.185,0.191,0.154,0.173,0.031
1515,353.00,639.13,302,1.880,526.6,0.143,0.103,0.151,0.226,0.187,0.135,0.056
1516,456.00,636.12,346,1.886,527.1,0.164,0.203,0.132,0.142,0.174,0.142,0.043
1517,317.00,636.05,349,1.904,527.9,0.160,0.187,0.132,0.160,0.152,0.143,0.066
1518,635.00,635.34,540,1.816,528.0,0.330,0.130,0.040,0.360,0.030,0.080,0.030
1519,646.00,633.28,545,1.862,528.3,0.192,0.172,0.101,0.172,0.136,0.141,0.086
1520,813.00,635.57,811,1.827,528.6,0.202,0.181,0.053,0.197,0.085,0.149,0.133
1521,488.00,638.16,473,1.859,529.0,0.224,0.204,0.043,0.157,0.118,0.122,0.133
1522,1602.00,640.93,1390,1.800,529.2,0.148,0.268,0.049,0.191,0.104,0.153,0.087
1523,972.00,646.73,701,1.800,529.6,0.191,0.234,0.043,0.187,0.091,0.172,0.081
1524,355.00,644.68,383,1.864,530.1,0.243,0.175,0.079,0.158,0.114,0.132,0.099
1525,464.00,646.06,522,1.874,530.6,0.215,0.212,0.070,0.154,0.093,0.148,0.108
1526,483.00,645.80,383,1.888,531.1,0.203,0.145,0.067,0.203,0.140,0.154,0.087
1527,225.00,638.92,298,1.737,531.5,0.287,0.114,0.035,0.335,0.098,0.055,0.075
1528,804.00,641.72,614,1.713,531.7,0.343,0.088,0.066,0.314,0.066,0.051,0.073
1529,477.00,637.53,464,1.919,532.9,0.159,0.212,0.110,0.144,0.124,0.141,0.109
1530,299.00,632.66,202,1.799,533.2,0.179,0.275,0.217,0.130,0.039,0.068,0.092
1531,708.00,636.60,615,1.851,533.8,0.145,0.216,0.170,0.190,0.091,0.094,0.094
1532,411.00,625.55,363,1.653,534.1,0.163,0.249,0.268,0.211,0.029,0.010,0.072
1533,523.00,627.34,483,1.804,534.5,0.184,0.216,0.213,0.191,0.099,0.050,0.046
1534,535.00,628.08,437,1.687,534.8,0.169,0.267,0.157,0.215,0.058,0.023,0.110
1535,739.00,626.62,654,1.764,535.2,0.250,0.296,0.136,0.121,0.096,0.032,0.068
1536,923.00,628.70,963,1.536,535.4,0.350,0.308,0.137,0.085,0.009,0.000,0.111
1537,617.00,631.64,616,1.867,536.1,0.208,0.179,0.149,0.147,0.105,0.096,0.116
1538,385.00,633.96,371,1.056,536.1,0.191,0.064,0.191,0.021,0.000,0.000,0.532
1539,835.00,634.51,851,1.725,536.5,0.327,0.159,0.164,0.150,0.066,0.022,0.111
1540,219.00,618.82,219,0.913,536.5,0.000,0.028,0.083,0.000,0.000,0.000,0.889
1541,527.00,618.02,409,1.761,536.9,0.310,0.171,0.128,0.124,0.085,0.043,0.140
1542,477.00,621.70,501,1.685,537.3,0.328,0.228,0.108,0.129,0.052,0.013,0.142
1543,649.00,617.04,579,1.768,537.8,0.301,0.209,0.134,0.114,0.088,0.039,0.114
1544,114.00,613.09,133,1.540,537.9,0.440,0.248,0.092,0.101,0.055,0.009,0.055
1545,372.00,612.77,412,1.743,538.3,0.326,0.196,0.138,0.116,0.085,0.022,0.116
1546,486.00,606.58,511,1.900,539.4,0.168,0.155,0.137,0.163,0.140,0.115,0.122
1547,411.00,603.08,348,1.885,540.3,0.191,0.164,0.133,0.142,0.178,0.063,0.128
1548,467.00,602.80,489,1.758,540.5,0.262,0.167,0.083,0.238,0.071,0.000,0.179
1549,204.00,594.17,204,1.067,540.6,0.784,0.027,0.000,0.000,0.000,0.000,0.189
1550,569.00,594.95,523,1.799,540.8,0.267,0.156,0.122,0.111,0.100,0.044,0.200
1551,521.00,597.51,404,1.557,540.9,0.271,0.167,0.083,0.062,0.062,0.021,0.333
1552,594.00,586.06,573,1.878,541.1,0.145,0.072,0.181,0.145,0.174,0.080,0.203
1553,918.00,587.03,803,1.921,542.1,0.158,0.114,0.176,0.137,0.195,0.111,0.109
1554,305.00,584.57,209,1.894,542.4,0.182,0.110,0.122,0.138,0.166,0.061,0.221
1555,1039.00,583.64,931,1.902,542.7,0.134,0.085,0.183,0.201,0.183,0.103,0.112
1556,589.00,580.79,506,1.899,543.2,0.098,0.101,0.186,0.139,0.213,0.109,0.154
1557,613.00,582.26,439,1.862,543.5,0.169,0.104,0.164,0.204,0.124,0.095,0.139
1558,1047.00,584.62,725,1.599,543.6,0.304,0.054,0.196,0.161,0.018,0.018,0.250
1559,195.00,581.00,275,1.802,543.9,0.137,0.075,0.224,0.261,0.093,0.075,0.137
1560,585.00,583.06,287,1.859,544.1,0.156,0.084,0.162,0.234,0.123,0.078,0.162
1561,414.00,579.99,443,1.869,544.5,0.210,0.103,0.177,0.185,0.074,0.045,0.206
1562,667.00,582.39,471,1.903,544.9,0.183,0.138,0.110,0.186,0.093,0.134,0.155
1563,798.00,582.82,521,1.911,545.1,0.154,0.103,0.140,0.162,0.125,0.132,0.184
1564,466.00,577.70,440,1.695,545.2,0.333,0.145,0.130,0.130,0.043,0.043,0.174
1565,1032.00,585.14,946,1.706,545.4,0.343,0.119,0.090,0.134,0.015,0.045,0.254
1566,572.00,584.66,441,1.883,545.5,0.239,0.097,0.124,0.150,0.053,0.142,0.195
1567,204.00,576.10,265,1.908,546.1,0.146,0.125,0.162,0.155,0.116,0.149,0.146
1568,686.00,577.23,590,1.922,546.3,0.166,0.074,0.129,0.166,0.190,0.147,0.129
1569,431.00,576.44,511,1.887,546.5,0.268,0.081,0.122,0.098,0.106,0.146,0.179
1570,627.00,577.75,438,1.928,546.9,0.154,0.084,0.117,0.165,0.198,0.179,0.103
1571,375.00,575.97,454,1.926,547.3,0.248,0.143,0.155,0.093,0.120,0.116,0.124
1572,505.00,577.12,580,1.931,547.9,0.142,0.118,0.142,0.137,0.177,0.182,0.102
1573,540.00,574.09,508,1.821,548.1,0.281,0.105,0.096,0.140,0.096,0.105,0.175
1574,193.00,573.67,223,1.906,548.3,0.240,0.126,0.158,0.126,0.104,0.109,0.137
1575,866.00,572.49,780,1.923,548.8,0.170,0.181,0.124,0.152,0.117,0.184,0.071
1576,286.00,573.49,212,1.923,549.2,0.171,0.155,0.155,0.101,0.161,0.146,0.111
1577,668.00,575.28,415,1.703,549.4,0.261,0.293,0.130,0.076,0.011,0.076,0.152
1578,422.00,576.07,502,1.927,549.9,0.169,0.158,0.172,0.129,0.115,0.181,0.077
1579,442.00,569.42,279,1.929,550.5,0.185,0.138,0.187,0.123,0.094,0.131,0.143
1580,311.00,560.97,380,1.934,551.0,0.158,0.121,0.153,0.161,0.161,0.158,0.088
1581,1291.00,568.60,1144,1.840,551.2,0.220,0.106,0.114,0.154,0.138,0.089,0.179
1582,1091.00,575.48,1003,1.854,551.6,0.201,0.148,0.138,0.124,0.134,0.138,0.117
1583,293.00,570.05,302,1.787,551.9,0.352,0.151,0.063,0.075,0.107,0.050,0.201
1584,341.00,567.06,322,1.817,552.1,0.279,0.123,0.148,0.066,0.090,0.066,0.230
1585,1422.00,579.13,1422,1.760,552.2,0.205,0.128,0.244,0.077,0.064,0.026,0.256
1586,1035.00,584.42,1016,1.733,552.3,0.245,0.132,0.245,0.038,0.075,0.057,0.208
1587,506.00,584.22,538,1.905,552.7,0.189,0.113,0.135,0.131,0.207,0.109,0.116
1588,1337.00,585.08,1221,1.339,552.8,0.267,0.233,0.067,0.017,0.017,0.000,0.400
1589,510.00,580.34,358,1.653,553.0,0.423,0.155,0.031,0.062,0.062,0.052,0.216
1590,694.00,579.19,734,1.881,553.5,0.233,0.147,0.080,0.112,0.160,0.152,0.115
1591,636.00,577.29,611,1.862,553.8,0.245,0.122,0.105,0.127,0.114,0.131,0.157
1592,238.00,573.87,318,1.628,554.0,0.181,0.111,0.028,0.042,0.083,0.167,0.389
1593,357.00,568.31,357,1.698,554.1,0.291,0.018,0.073,0.018,0.073,0.145,0.382
1594,662.00,567.41,464,1.909,554.4,0.246,0.188,0.107,0.098,0.134,0.121,0.107
1595,281.00,563.14,281,0.893,554.5,0.081,0.027,0.027,0.081,0.000,0.081,0.703
1596,373.00,560.31,373,0.978,554.6,0.000,0.021,0.000,0.000,0.021,0.213,0.745
1597,912.00,561.62,874,1.505,554.7,0.092,0.092,0.062,0.154,0.000,0.154,0.446
1598,110.00,560.43,98,1.864,555.0,0.134,0.166,0.099,0.146,0.075,0.178,0.202
1599,247.00,557.94,231,1.238,555.1,0.122,0.220,0.000,0.000,0.000,0.049,0.610
1600,668.00,558.49,512,1.747,555.3,0.140,0.247,0.032,0.086,0.011,0.204,0.280
1601,260.00,558.17,323,1.907,555.7,0.157,0.168,0.073,0.168,0.088,0.164,0.182
1602,671.00,561.96,662,1.859,555.8,0.164,0.219,0.123,0.096,0.082,0.123,0.192
1603,606.00,561.45,508,1.884,556.1,0.159,0.193,0.091,0.188,0.057,0.159,0.153
1604,499.00,560.59,387,1.909,556.7,0.145,0.182,0.110,0.185,0.087,0.162,0.130
1605,534.00,562.57,574,1.931,557.2,0.144,0.152,0.103,0.141,0.167,0.176,0.117
1606,472.00,562.40,404,1.914,557.6,0.144,0.127,0.116,0.205,0.134,0.140,0.134
1607,979.00,565.86,972,1.838,557.8,0.198,0.132,0.047,0.236,0.075,0.104,0.208
1608,670.00,571.07,710,1.790,557.9,0.086,0.086,0.071,0.343,0.057,0.086,0.271
1609,954.00,577.53,802,1.898,558.1,0.189,0.170,0.104,0.170,0.085,0.104,0.179
1610,463.00,575.28,391,1.923,558.5,0.185,0.145,0.073,0.191,0.139,0.168,0.099
1611,357.00,577.46,286,1.915,558.9,0.150,0.108,0.142,0.183,0.150,0.125,0.142
1612,660.00,580.38,488,1.862,559.1,0.168,0.121,0.141,0.128,0.094,0.174,0.174
1613,408.00,576.13,357,1.871,559.5,0.109,0.202,0.078,0.097,0.121,0.268,0.125
1614,628.00,576.36,628,1.362,559.6,0.225,0.050,0.075,0.000,0.000,0.325,0.325
1615,550.00,578.33,486,1.880,560.1,0.202,0.116,0.122,0.119,0.128,0.165,0.147
1616,1723.00,591.00,1526,1.745,560.2,0.258,0.113,0.165,0.082,0.010,0.113,0.258
1617,545.00,593.28,582,1.815,560.5,0.252,0.050,0.126,0.119,0.031,0.201,0.220
1618,505.00,591.98,528,1.907,561.2,0.170,0.148,0.154,0.140,0.093,0.156,0.138
1619,421.00,589.73,96,1.168,561.4,0.069,0.046,0.448,0.356,0.000,0.023,0.057
1620,1544.00,597.04,1329,1.723,561.7,0.283,0.116,0.167,0.232,0.025,0.061,0.116
1621,298.00,595.14,298,1.758,562.2,0.249,0.117,0.163,0.206,0.040,0.083,0.140
1622,675.00,585.87,650,1.795,562.7,0.262,0.084,0.164,0.231,0.052,0.059,0.147
1623,664.00,582.79,572,1.851,563.1,0.185,0.147,0.123,0.199,0.065,0.140,0.140
1624,933.00,588.57,955,1.684,563.5,0.303,0.125,0.128,0.185,0.047,0.067,0.145
1625,1086.00,594.79,1122,1.593,563.7,0.299,0.121,0.159,0.290,0.000,0.028,0.103
1626,489.00,594.85,357,1.566,563.9,0.256,0.111,0.231,0.299,0.000,0.043,0.060
1627,681.00,599.41,435,1.862,564.2,0.259,0.159,0.134,0.188,0.038,0.113,0.109
1628,491.00,596.28,468,1.754,564.4,0.296,0.200,0.130,0.130,0.035,0.035,0.174
1629,311.00,594.62,304,1.859,564.9,0.219,0.105,0.197,0.175,0.054,0.060,0.190
1630,546.00,597.09,567,1.705,565.2,0.250,0.200,0.171,0.186,0.014,0.100,0.079
1631,53.00,590.54,133,1.620,565.4,0.140,0.402,0.056,0.187,0.000,0.159,0.056
1632,699.00,593.42,633,1.847,566.0,0.177,0.268,0.140,0.146,0.064,0.122,0.082
1633,363.00,591.82,443,1.840,566.4,0.151,0.319,0.154,0.140,0.028,0.144,0.063
1634,587.00,592.34,409,1.886,566.8,0.167,0.227,0.182,0.172,0.066,0.111,0.076
1635,344.00,588.39,370,1.864,567.1,0.263,0.137,0.132,0.185,0.049,0.127,0.107
1636,371.00,582.87,399,1.921,567.8,0.183,0.159,0.145,0.139,0.096,0.150,0.128
1637,476.00,581.46,500,1.900,568.2,0.162,0.174,0.149,0.166,0.095,0.166,0.087
1638,1096.00,588.57,1068,1.899,568.6,0.204,0.136,0.157,0.166,0.089,0.149,0.098
1639,625.00,586.47,456,1.806,568.9,0.200,0.127,0.109,0.200,0.027,0.164,0.173
1640,447.00,588.75,473,1.891,569.6,0.161,0.098,0.153,0.235,0.063,0.175,0.115
1641,463.00,588.11,446,1.870,569.8,0.198,0.119,0.111,0.214,0.048,0.151,0.159
1642,1343.00,596.77,1122,1.854,569.9,0.130,0.102,0.222,0.204,0.046,0.148,0.148
1643,225.00,592.53,195,1.913,570.1,0.191,0.157,0.165,0.200,0.070,0.078,0.139
1644,274.00,594.13,305,1.907,570.3,0.179,0.107,0.131,0.202,0.071,0.071,0.238
1645,443.00,594.84,417,1.922,570.5,0.096,0.160,0.117,0.223,0.053,0.202,0.149
1646,862.00,598.60,821,1.930,570.8,0.149,0.131,0.126,0.160,0.074,0.160,0.200
1647,158.00,596.07,202,1.928,571.2,0.127,0.119,0.146,0.185,0.127,0.181,0.115
1648,564.00,597.04,482,1.920,571.4,0.094,0.133,0.203,0.094,0.102,0.156,0.219
1649,541.00,600.41,573,1.937,572.0,0.134,0.154,0.184,0.128,0.137,0.109,0.154
1650,519.00,599.91,552,1.926,572.4,0.131,0.149,0.163,0.154,0.104,0.113,0.186
1651,570.00,600.40,586,1.923,572.8,0.147,0.117,0.169,0.234,0.117,0.078,0.139
1652,642.00,600.88,551,1.917,573.2,0.130,0.087,0.248,0.165,0.135,0.109,0.126
1653,315.00,594.85,300,1.925,573.5,0.153,0.090,0.194,0.132,0.139,0.139,0.153
1654,609.00,597.89,672,1.590,573.7,0.034,0.149,0.149,0.448,0.080,0.080,0.057
1655,320.00,590.70,342,1.921,574.1,0.152,0.104,0.175,0.185,0.142,0.095,0.147
1656,877.00,593.58,910,1.921,574.4,0.228,0.074,0.101,0.181,0.188,0.094,0.134
1657,276.00,590.21,296,1.929,574.6,0.155,0.124,0.209,0.085,0.132,0.116,0.178
1658,712.00,586.86,562,1.931,574.9,0.145,0.137,0.188,0.145,0.103,0.145,0.137
1659,586.00,590.77,503,1.937,575.3,0.125,0.177,0.164,0.121,0.151,0.159,0.103
1660,651.00,591.43,591,1.931,575.7,0.124,0.157,0.161,0.136,0.157,0.124,0.140
1661,722.00,594.51,496,1.903,575.9,0.156,0.146,0.188,0.115,0.104,0.083,0.208
1662,61.00,588.45,141,1.752,576.0,0.118,0.088,0.103,0.441,0.029,0.103,0.118
1663,726.00,587.73,522,1.890,576.4,0.180,0.102,0.092,0.170,0.073,0.131,0.252
1664,657.00,589.64,624,1.918,576.8,0.166,0.136,0.162,0.140,0.128,0.115,0.153
1665,340.00,582.72,331,1.903,577.2,0.151,0.161,0.186,0.116,0.111,0.101,0.176
1666,318.00,580.18,330,1.860,577.5,0.107,0.146,0.090,0.242,0.096,0.079,0.242
1667,653.00,584.67,552,1.860,577.9,0.106,0.149,0.207,0.058,0.178,0.106,0.197
1668,191.00,579.72,190,1.863,578.3,0.103,0.116,0.198,0.121,0.181,0.116,0.164
1669,754.00,582.95,563,1.859,578.7,0.135,0.090,0.238,0.076,0.202,0.094,0.166
1670,868.00,585.36,855,1.474,578.8,0.017,0.000,0.267,0.017,0.317,0.067,0.317
1671,597.00,587.58,562,1.868,579.3,0.103,0.138,0.210,0.114,0.186,0.107,0.141
1672,121.00,583.74,163,1.524,579.5,0.099,0.037,0.136,0.049,0.519,0.062,0.099
1673,664.00,584.98,626,1.926,581.2,0.129,0.117,0.159,0.121,0.194,0.173,0.107
1674,432.00,587.37,243,1.263,581.4,0.114,0.000,0.114,0.102,0.455,0.114,0.102
1675,175.00,580.46,255,1.299,581.6,0.157,0.000,0.076,0.022,0.503,0.114,0.130
1676,273.00,580.33,77,1.139,581.8,0.096,0.000,0.072,0.024,0.675,0.048,0.084
1677,311.00,576.76,384,1.697,582.1,0.127,0.034,0.104,0.056,0.429,0.134,0.116
1678,726.00,579.80,694,1.495,582.3,0.077,0.000,0.077,0.013,0.436,0.192,0.205
1679,116.00,576.54,179,1.579,582.5,0.127,0.030,0.085,0.012,0.491,0.121,0.133
1680,500.00,578.43,372,1.583,582.7,0.175,0.008,0.083,0.050,0.400,0.108,0.175
1681,381.00,569.33,344,1.852,583.1,0.155,0.051,0.128,0.066,0.275,0.188,0.137
1682,851.00,566.93,753,1.585,583.3,0.069,0.000,0.069,0.029,0.206,0.255,0.373
1683,449.00,568.49,372,1.829,583.7,0.187,0.073,0.117,0.097,0.167,0.207,0.153
1684,366.00,568.74,406,1.710,583.9,0.158,0.013,0.217,0.013,0.066,0.349,0.184
1685,355.00,558.07,302,1.780,584.2,0.150,0.013,0.181,0.097,0.084,0.335,0.141
1686,1164.00,559.36,772,1.598,584.4,0.163,0.010,0.163,0.019,0.125,0.385,0.135
1687,1197.00,566.27,1176,1.652,584.6,0.211,0.016,0.162,0.065,0.141,0.254,0.151
1688,731.00,560.21,604,1.588,584.9,0.114,0.016,0.119,0.043,0.114,0.405,0.189
1689,306.00,558.17,287,1.641,585.1,0.202,0.008,0.097,0.016,0.089,0.363,0.226
1690,1156.00,562.79,977,1.729,585.3,0.209,0.006,0.120,0.038,0.127,0.215,0.285
1691,1190.00,568.33,1087,1.741,585.5,0.200,0.021,0.279,0.057,0.121,0.164,0.157
1692,478.00,570.73,520,1.745,585.7,0.169,0.008,0.210,0.089,0.153,0.169,0.202
1693,823.00,575.39,778,1.731,585.8,0.295,0.011,0.205,0.023,0.205,0.091,0.170
1694,639.00,575.16,608,1.737,586.0,0.168,0.000,0.160,0.067,0.168,0.151,0.286
1695,321.00,575.56,301,1.821,586.3,0.167,0.036,0.207,0.099,0.131,0.171,0.189
1696,589.00,577.72,523,1.879,586.8,0.182,0.035,0.162,0.139,0.182,0.182,0.119
1697,1111.00,579.71,863,1.693,586.9,0.409,0.034,0.068,0.068,0.114,0.102,0.205
1698,1701.00,595.62,1033,1.658,587.1,0.299,0.013,0.091,0.052,0.312,0.065,0.169
1699,704.00,600.19,638,1.797,587.4,0.137,0.077,0.169,0.073,0.149,0.169,0.226
1700,626.00,599.77,514,1.767,587.6,0.120,0.014,0.204,0.085,0.176,0.120,0.282
1701,948.00,606.65,882,1.804,587.9,0.193,0.034,0.170,0.131,0.165,0.131,0.176
1702,587.00,605.81,587,1.765,588.1,0.216,0.006,0.164,0.123,0.199,0.058,0.234
1703,961.00,609.36,741,1.698,588.3,0.245,0.027,0.313,0.136,0.150,0.034,0.095
1704,165.00,606.02,165,1.817,588.5,0.188,0.021,0.194,0.076,0.118,0.118,0.285
1705,1098.00,611.66,968,1.797,588.7,0.216,0.020,0.155,0.128,0.128,0.115,0.236
1706,671.00,613.65,522,1.714,588.9,0.290,0.011,0.151,0.172,0.075,0.086,0.215
1707,593.00,609.79,525,1.782,589.0,0.224,0.017,0.129,0.069,0.103,0.121,0.336
1708,944.00,612.53,952,1.713,589.2,0.211,0.013,0.250,0.171,0.118,0.053,0.184
1709,227.00,605.26,307,1.880,589.6,0.143,0.061,0.128,0.088,0.155,0.171,0.253
1710,896.00,609.59,747,1.782,590.0,0.233,0.054,0.160,0.121,0.097,0.140,0.195
1711,397.00,609.99,355,1.805,590.3,0.180,0.060,0.172,0.124,0.069,0.167,0.227
1712,755.00,610.94,639,0.948,590.4,0.750,0.000,0.125,0.000,0.000,0.089,0.036
1713,574.00,612.60,363,1.697,590.7,0.163,0.040,0.233,0.066,0.026,0.357,0.115
1714,1088.00,617.20,953,1.785,591.1,0.180,0.071,0.194,0.099,0.051,0.286,0.119
1715,433.00,616.03,352,1.850,591.6,0.171,0.088,0.214,0.126,0.060,0.199,0.141
1716,377.00,602.57,247,1.774,592.0,0.258,0.049,0.242,0.140,0.061,0.136,0.114
1717,711.00,604.23,742,1.752,592.3,0.239,0.070,0.249,0.109,0.045,0.129,0.159
1718,348.00,602.66,0,0.216,592.4,0.943,0.000,0.000,0.057,0.000,0.000,0.000
1719,481.00,603.26,463,1.749,592.6,0.304,0.055,0.160,0.066,0.022,0.193,0.199
1720,1046.00,598.28,910,1.118,592.7,0.530,0.045,0.212,0.152,0.000,0.015,0.045
1721,870.00,604.00,791,1.541,592.9,0.376,0.040,0.216,0.064,0.064,0.072,0.168
1722,426.00,601.51,506,1.897,593.6,0.173,0.098,0.177,0.115,0.083,0.134,0.220
1723,1191.00,606.78,1095,1.830,593.8,0.190,0.136,0.217,0.092,0.060,0.136,0.168
1724,372.00,601.17,364,1.873,594.3,0.128,0.113,0.209,0.116,0.072,0.178,0.184
1725,491.00,595.22,460,1.912,594.7,0.141,0.129,0.204,0.114,0.087,0.168,0.159
1726,415.00,594.48,435,1.897,595.0,0.115,0.170,0.235,0.095,0.065,0.240,0.080
1727,794.00,595.61,465,1.751,595.2,0.139,0.228,0.139,0.109,0.129,0.168,0.089
1728,676.00,597.46,660,1.929,595.6,0.124,0.131,0.187,0.099,0.173,0.159,0.127
1729,812.00,602.47,782,1.919,596.1,0.132,0.146,0.167,0.120,0.117,0.189,0.129
1730,865.00,605.66,804,1.913,596.6,0.143,0.135,0.162,0.132,0.127,0.195,0.105
1731,-1.00,605.12,0,1.463,596.7,0.237,0.186,0.373,0.068,0.034,0.051,0.051
1732,497.00,603.10,400,1.920,597.0,0.177,0.119,0.212,0.102,0.111,0.173,0.106
1733,677.00,606.24,697,1.906,597.4,0.219,0.129,0.137,0.129,0.099,0.172,0.116
1734,194.00,602.31,60,1.818,597.6,0.202,0.156,0.202,0.225,0.052,0.139,0.023
1735,394.00,602.81,363,1.916,597.9,0.174,0.134,0.169,0.164,0.095,0.189,0.075
1736,639.00,605.49,636,1.921,598.3,0.152,0.134,0.170,0.113,0.106,0.205,0.120
1737,331.00,604.04,284,1.764,598.5,0.188,0.172,0.273,0.156,0.055,0.125,0.031
1738,160.00,594.68,235,1.899,598.9,0.226,0.156,0.177,0.132,0.045,0.149,0.115
1739,1200.00,600.43,961,1.928,599.2,0.179,0.100,0.162,0.105,0.135,0.197,0.122
1740,89.00,596.85,0,1.570,599.3,0.087,0.261,0.217,0.391,0.000,0.043,0.000
1741,533.00,597.55,613,1.902,599.5,0.170,0.142,0.153,0.193,0.085,0.153,0.102
1742,388.00,588.00,362,1.923,600.0,0.162,0.142,0.151,0.142,0.088,0.165,0.148
1743,451.00,590.26,449,1.913,600.5,0.159,0.154,0.214,0.121,0.129,0.118,0.104
1744,404.00,591.56,389,1.910,600.8,0.136,0.089,0.258,0.131,0.136,0.174,0.075
1745,533.00,592.46,613,1.909,601.0,0.226,0.073,0.169,0.145,0.153,0.161,0.073
1746,472.00,588.56,358,1.930,601.3,0.186,0.075,0.217,0.137,0.177,0.115,0.093
1747,394.00,590.92,391,1.928,601.7,0.174,0.104,0.185,0.168,0.138,0.141,0.091
1748,1172.00,597.00,1126,1.918,601.9,0.153,0.129,0.161,0.097,0.153,0.153,0.153
1749,400.00,595.59,409,1.941,602.4,0.121,0.165,0.151,0.136,0.136,0.160,0.131
1750,486.00,595.26,565,1.934,603.0,0.115,0.127,0.125,0.157,0.127,0.184,0.164
1751,609.00,595.65,571,1.852,603.1,0.095,0.230,0.162,0.230,0.122,0.027,0.135
1752,292.00,592.15,331,1.930,603.5,0.109,0.136,0.163,0.109,0.124,0.155,0.205
1753,504.00,594.04,478,1.931,603.9,0.089,0.109,0.147,0.140,0.105,0.209,0.202
1754,26.00,588.21,103,1.794,604.1,0.077,0.271,0.277,0.226,0.052,0.039,0.058
1755,257.00,587.58,267,1.915,604.4,0.112,0.189,0.173,0.158,0.097,0.138,0.133
1756,376.00,582.57,413,1.935,604.9,0.119,0.164,0.137,0.175,0.121,0.146,0.137
1757,1114.00,590.95,1069,1.862,605.1,0.107,0.140,0.167,0.167,0.147,0.200,0.073
