episode,reward,avg100_reward,deposited,dropoffs_built,bank_margin,win_flag,mean_entropy,elapsed_sec,opponent,current_lr,stay,north,east,south,west,random,home,prospect,dropoff
1,10403.72,10403.72,10405,0,-1595,-1,1.077,16.3,idle(warmup),2.00e-04,0.141,0.208,0.120,0.175,0.167,0.060,0.093,0.036,0.000
2,8849.06,9626.39,8682,0,-1318,-1,1.086,30.1,idle(warmup),2.00e-04,0.136,0.212,0.187,0.145,0.144,0.056,0.081,0.039,0.000
3,12577.91,10610.23,13564,0,-2436,-1,1.095,52.9,idle(warmup),2.00e-04,0.132,0.162,0.141,0.078,0.135,0.236,0.074,0.043,0.000
4,11439.73,10817.60,11965,0,-3035,-1,1.107,72.9,idle(warmup),2.00e-04,0.111,0.133,0.164,0.133,0.165,0.175,0.077,0.043,0.000
5,15376.98,11729.48,15643,0,1643,1,1.110,93.9,idle(warmup),2.00e-04,0.174,0.183,0.203,0.098,0.139,0.068,0.090,0.045,0.000
6,14925.47,12262.14,15174,0,1174,1,1.107,112.9,idle(warmup),2.00e-04,0.171,0.125,0.132,0.130,0.259,0.059,0.073,0.052,0.000
7,15221.48,12684.90,15716,0,-284,-1,1.114,134.5,idle(warmup),2.00e-04,0.156,0.101,0.170,0.218,0.091,0.141,0.075,0.049,0.000
8,20952.00,13718.29,20969,0,4969,1,1.077,157.2,idle(warmup),2.00e-04,0.200,0.172,0.161,0.142,0.167,0.029,0.081,0.048,0.000
9,15415.97,13906.92,15409,0,409,1,1.025,178.4,idle(warmup),2.00e-04,0.187,0.114,0.142,0.232,0.172,0.043,0.067,0.043,0.000
10,13457.93,13862.02,13930,0,-2070,-1,1.057,199.6,idle(warmup),2.00e-04,0.185,0.095,0.175,0.199,0.123,0.119,0.059,0.046,0.000
11,11539.08,13650.85,11335,0,335,1,1.019,215.8,idle(warmup),2.00e-04,0.144,0.277,0.198,0.120,0.110,0.023,0.094,0.034,0.000
12,15508.98,13805.69,15594,0,-406,-1,1.050,235.4,idle(warmup),2.00e-04,0.185,0.160,0.114,0.131,0.242,0.063,0.070,0.036,0.000
13,8070.81,13364.55,8535,0,-4465,-1,1.053,252.8,idle(warmup),2.00e-04,0.135,0.134,0.102,0.144,0.206,0.182,0.061,0.036,0.000
14,10074.80,13129.56,10567,0,-3433,-1,1.052,271.0,idle(warmup),2.00e-04,0.134,0.220,0.129,0.100,0.163,0.175,0.053,0.027,0.000
15,24092.50,13860.43,24191,0,8191,1,1.007,293.3,idle(warmup),2.00e-04,0.177,0.217,0.110,0.121,0.232,0.026,0.084,0.033,0.000
