episode,reward,avg100_reward,deposited,dropoffs_built,bank_margin,win_flag,mean_entropy,elapsed_sec,opponent,current_lr,stay,north,east,south,west,random,home,prospect,dropoff
16,13581.40,13842.99,13531,0,-469,-1,1.006,311.6,idle(warmup),2.00e-04,0.146,0.238,0.131,0.150,0.173,0.031,0.103,0.029,0.000
17,9583.64,13592.44,9567,0,-433,-1,1.024,326.8,idle(warmup),2.00e-04,0.119,0.182,0.145,0.231,0.140,0.068,0.081,0.034,0.000
18,16467.49,13752.16,17100,0,1100,1,1.051,351.9,idle(warmup),2.00e-04,0.169,0.114,0.204,0.141,0.182,0.099,0.057,0.034,0.000
19,12145.27,13667.59,12259,0,-2741,-1,0.971,371.7,idle(warmup),2.00e-04,0.161,0.187,0.143,0.233,0.128,0.055,0.071,0.023,0.000
20,21876.50,14078.04,22057,0,6057,1,0.952,396.2,idle(warmup),2.00e-04,0.192,0.094,0.135,0.234,0.237,0.016,0.070,0.022,0.000
21,19727.00,14347.03,19694,0,3694,1,0.987,416.1,idle(warmup),2.00e-04,0.191,0.126,0.184,0.207,0.158,0.012,0.097,0.025,0.000
22,14493.44,14353.69,14366,0,1366,1,0.979,436.7,idle(warmup),2.00e-04,0.221,0.226,0.203,0.112,0.131,0.016,0.064,0.026,0.000
23,15248.97,14392.61,15186,0,186,1,0.987,457.7,idle(warmup),2.00e-04,0.159,0.275,0.162,0.111,0.173,0.019,0.082,0.018,0.000
24,13943.42,14373.90,13872,0,-128,-1,1.004,476.8,idle(warmup),2.00e-04,0.186,0.210,0.143,0.117,0.229,0.028,0.065,0.021,0.000
25,19375.50,14573.96,19144,0,3144,1,1.018,497.0,idle(warmup),2.00e-04,0.188,0.184,0.119,0.198,0.174,0.014,0.094,0.030,0.000
26,13637.40,14537.94,13464,0,-536,-1,0.987,516.4,idle(warmup),2.00e-04,0.156,0.110,0.136,0.286,0.189,0.013,0.082,0.028,0.000
27,10926.33,14404.18,10630,0,-370,-1,0.987,533.5,idle(warmup),2.00e-04,0.175,0.147,0.173,0.249,0.155,0.018,0.056,0.028,0.000
28,13662.40,14377.68,13421,0,1421,1,1.002,549.0,idle(warmup),2.00e-04,0.146,0.204,0.176,0.223,0.133,0.012,0.079,0.026,0.000
29,21852.50,14635.44,21960,0,5960,1,1.032,574.9,idle(warmup),2.00e-04,0.171,0.118,0.189,0.212,0.203,0.018,0.060,0.029,0.000
30,16717.49,14704.84,16612,0,612,1,1.060,597.5,idle(warmup),2.00e-04,0.236,0.203,0.174,0.110,0.167,0.017,0.056,0.037,0.000
31,17729.49,14802.41,17561,0,1561,1,1.057,618.6,idle(warmup),2.00e-04,0.202,0.252,0.137,0.142,0.156,0.012,0.062,0.038,0.000
32,16037.98,14841.02,15960,0,960,1,1.033,636.2,idle(warmup),2.00e-04,0.224,0.155,0.172,0.193,0.142,0.016,0.060,0.039,0.000
33,17693.49,14927.46,17754,0,1754,1,1.078,656.2,idle(warmup),2.00e-04,0.226,0.238,0.144,0.092,0.179,0.022,0.058,0.040,0.000
34,25564.00,15240.30,25515,0,9515,1,1.118,677.8,idle(warmup),2.00e-04,0.251,0.159,0.124,0.166,0.194,0.021,0.048,0.038,0.000
35,13823.91,15199.83,13562,0,562,1,1.028,695.2,idle(warmup),2.00e-04,0.254,0.151,0.128,0.208,0.156,0.013,0.050,0.040,0.000
36,18240.50,15284.29,18169,0,2169,1,1.149,713.6,idle(warmup),2.00e-04,0.260,0.180,0.174,0.129,0.156,0.026,0.040,0.035,0.000
37,11678.62,15186.84,11481,0,-519,-1,1.128,739.3,idle(warmup),2.00e-04,0.203,0.249,0.157,0.126,0.136,0.033,0.053,0.045,0.000
38,20852.50,15335.94,20940,0,4940,1,1.139,760.0,idle(warmup),2.00e-04,0.242,0.223,0.145,0.095,0.169,0.030,0.042,0.054,0.000
39,9936.68,15197.50,10330,0,330,1,1.198,775.0,idle(warmup),2.00e-04,0.176,0.221,0.117,0.082,0.129,0.188,0.047,0.041,0.000
40,27093.50,15494.90,27176,0,11176,1,1.171,801.6,idle(warmup),2.00e-04,0.252,0.206,0.126,0.120,0.175,0.032,0.029,0.060,0.000
41,21858.50,15650.11,21864,0,5864,1,1.104,825.2,idle(warmup),2.00e-04,0.226,0.237,0.100,0.118,0.198,0.022,0.045,0.054,0.000
42,20625.50,15768.57,20750,0,4750,1,1.177,851.2,idle(warmup),2.00e-04,0.226,0.132,0.129,0.148,0.230,0.030,0.033,0.072,0.000
43,14600.95,15741.41,14411,0,411,1,1.116,873.2,idle(warmup),2.00e-04,0.228,0.147,0.116,0.183,0.211,0.024,0.045,0.046,0.000
44,12819.32,15675.00,12559,0,559,1,1.204,890.8,idle(warmup),2.00e-04,0.237,0.154,0.155,0.196,0.132,0.020,0.044,0.060,0.000
45,18833.50,15745.19,18752,0,2752,1,1.159,914.4,idle(warmup),2.00e-04,0.213,0.142,0.113,0.199,0.220,0.019,0.036,0.057,0.000
46,23668.50,15917.44,23773,0,7773,1,1.146,938.2,idle(warmup),2.00e-04,0.263,0.147,0.115,0.131,0.239,0.016,0.025,0.064,0.000
47,19643.00,15996.70,19521,0,3521,1,1.172,959.8,idle(warmup),2.00e-04,0.245,0.219,0.117,0.119,0.193,0.021,0.038,0.048,0.000
48,22537.00,16132.96,22592,0,6592,1,1.209,984.1,idle(warmup),2.00e-04,0.266,0.099,0.143,0.196,0.175,0.025,0.034,0.061,0.000
49,17633.99,16163.59,17574,0,2574,1,1.085,1003.6,idle(warmup),2.00e-04,0.239,0.197,0.114,0.116,0.213,0.021,0.045,0.055,0.000
50,24677.50,16333.87,24677,0,8677,1,1.145,1028.0,idle(warmup),2.00e-04,0.229,0.177,0.139,0.155,0.194,0.007,0.030,0.068,0.000
51,25956.50,16522.55,25907,0,9907,1,1.179,1054.2,idle(warmup),2.00e-04,0.218,0.126,0.130,0.196,0.196,0.007,0.037,0.089,0.000
52,24863.50,16682.95,24873,0,8873,1,1.148,1076.2,idle(warmup),2.00e-04,0.266,0.184,0.118,0.154,0.153,0.005,0.028,0.092,0.000
53,21796.50,16779.44,21672,0,5672,1,1.135,1097.9,idle(warmup),2.00e-04,0.242,0.163,0.117,0.175,0.158,0.007,0.058,0.080,0.000
54,17046.49,16784.38,17230,0,1230,1,1.143,1117.7,idle(warmup),2.00e-04,0.202,0.159,0.114,0.138,0.212,0.048,0.058,0.069,0.000
55,19462.50,16833.07,19412,0,3412,1,1.142,1142.8,idle(warmup),2.00e-04,0.203,0.148,0.164,0.189,0.159,0.017,0.065,0.055,0.000
56,22633.50,16936.65,22643,0,6643,1,1.115,1171.2,idle(warmup),2.00e-04,0.212,0.171,0.115,0.179,0.178,0.022,0.050,0.074,0.000
57,17979.49,16954.95,17951,0,1951,1,1.125,1192.6,idle(warmup),2.00e-04,0.237,0.094,0.149,0.240,0.151,0.018,0.057,0.055,0.000
58,12200.22,16872.97,11949,0,-51,-1,1.063,1208.2,idle(warmup),2.00e-04,0.225,0.165,0.085,0.207,0.180,0.013,0.055,0.070,0.000
59,19519.00,16917.82,19397,0,3397,1,1.156,1229.1,idle(warmup),2.00e-04,0.212,0.162,0.113,0.178,0.165,0.012,0.058,0.100,0.000
60,15944.48,16901.60,15755,0,755,1,1.100,1247.6,idle(warmup),2.00e-04,0.180,0.200,0.101,0.234,0.128,0.007,0.070,0.081,0.000
61,19595.00,16945.75,19518,0,3518,1,1.128,1268.6,idle(warmup),2.00e-04,0.224,0.173,0.155,0.166,0.148,0.009,0.057,0.067,0.000
62,22437.00,17034.32,22297,0,6297,1,1.111,1290.9,idle(warmup),2.00e-04,0.259,0.184,0.120,0.155,0.157,0.008,0.052,0.065,0.000
63,20377.50,17087.38,20342,0,4342,1,1.138,1312.7,idle(warmup),2.00e-04,0.239,0.149,0.147,0.197,0.135,0.005,0.048,0.080,0.000
64,12765.32,17019.85,12579,0,-421,-1,1.068,1331.9,idle(warmup),2.00e-04,0.223,0.171,0.112,0.189,0.191,0.008,0.052,0.053,0.000
65,18796.50,17047.19,19264,0,3264,1,1.291,1356.9,idle(warmup),2.00e-04,0.220,0.129,0.098,0.162,0.183,0.046,0.066,0.095,0.000
66,17119.49,17048.28,17217,0,1217,1,1.273,1377.3,idle(warmup),2.00e-04,0.179,0.103,0.172,0.234,0.149,0.017,0.061,0.085,0.000
67,23636.00,17146.61,23547,0,7547,1,1.189,1402.1,idle(warmup),2.00e-04,0.228,0.164,0.113,0.166,0.176,0.008,0.052,0.092,0.000
68,24188.00,17250.16,24146,0,8146,1,1.236,1425.4,idle(warmup),2.00e-04,0.256,0.143,0.113,0.134,0.184,0.010,0.045,0.113,0.000
69,15851.98,17229.89,15964,0,-36,-1,1.220,1448.3,idle(warmup),2.00e-04,0.254,0.112,0.142,0.187,0.136,0.032,0.049,0.089,0.000
70,19258.00,17258.86,19060,0,3060,1,1.170,1470.0,idle(warmup),2.00e-04,0.251,0.143,0.109,0.188,0.178,0.006,0.052,0.073,0.000
71,32373.50,17471.75,32571,0,16571,1,1.144,1495.5,idle(warmup),2.00e-04,0.324,0.151,0.079,0.130,0.191,0.008,0.024,0.094,0.000
72,16232.98,17454.54,16076,0,76,1,1.173,1514.1,idle(warmup),2.00e-04,0.209,0.172,0.108,0.198,0.170,0.015,0.066,0.062,0.000
73,20341.00,17494.08,20488,0,4488,1,1.176,1534.5,idle(warmup),2.00e-04,0.275,0.122,0.141,0.203,0.129,0.017,0.041,0.071,0.000
74,19170.50,17516.74,19049,0,4049,1,1.181,1557.1,idle(warmup),2.00e-04,0.272,0.200,0.130,0.126,0.132,0.017,0.051,0.073,0.000
75,23544.50,17597.11,23530,0,7530,1,1.201,1580.5,idle(warmup),2.00e-04,0.299,0.155,0.114,0.132,0.153,0.015,0.036,0.095,0.000
76,16083.98,17577.20,15894,0,2894,1,1.102,1598.7,idle(warmup),2.00e-04,0.261,0.207,0.078,0.163,0.147,0.018,0.047,0.078,0.000
77,26126.00,17688.22,26342,0,10342,1,1.230,1621.7,idle(warmup),2.00e-04,0.266,0.173,0.104,0.148,0.145,0.027,0.045,0.091,0.000
78,23816.00,17766.78,23967,0,7967,1,1.221,1645.0,idle(warmup),2.00e-04,0.280,0.129,0.140,0.168,0.115,0.027,0.049,0.092,0.000
79,15097.96,17733.00,15021,0,21,1,1.088,1665.9,idle(warmup),2.00e-04,0.257,0.201,0.066,0.118,0.189,0.035,0.056,0.078,0.000
80,26277.00,17839.80,26321,0,10321,1,1.179,1690.4,idle(warmup),2.00e-04,0.335,0.152,0.123,0.110,0.123,0.011,0.039,0.106,0.000
81,19542.50,17860.82,19398,0,3398,1,1.158,1710.3,idle(warmup),2.00e-04,0.295,0.154,0.143,0.146,0.118,0.012,0.048,0.084,0.000
82,16634.99,17845.87,17116,0,1116,1,1.211,1733.8,idle(warmup),2.00e-04,0.271,0.186,0.127,0.098,0.119,0.084,0.049,0.065,0.000
83,13058.91,17788.20,13618,0,-2382,-1,1.205,1756.9,idle(warmup),2.00e-04,0.276,0.124,0.142,0.123,0.120,0.086,0.041,0.088,0.000
84,31815.50,17955.19,31980,0,15980,1,1.151,1783.4,idle(warmup),2.00e-04,0.401,0.115,0.105,0.117,0.119,0.006,0.026,0.111,0.000
85,31703.00,18116.93,32008,0,16008,1,1.204,1808.0,idle(warmup),2.00e-04,0.368,0.109,0.071,0.157,0.148,0.009,0.028,0.111,0.000
86,25314.00,18200.61,25356,0,9356,1,1.247,1832.9,idle(warmup),2.00e-04,0.331,0.119,0.112,0.144,0.128,0.007,0.036,0.122,0.000
87,16229.48,18177.96,16086,0,1086,1,1.199,1852.5,idle(warmup),2.00e-04,0.265,0.174,0.089,0.184,0.129,0.014,0.054,0.089,0.000
88,24667.00,18251.70,24560,0,8560,1,1.186,1873.8,idle(warmup),2.00e-04,0.353,0.176,0.096,0.088,0.140,0.014,0.043,0.091,0.000
89,28950.50,18371.91,29134,0,13134,1,1.236,1898.7,idle(warmup),2.00e-04,0.375,0.125,0.088,0.155,0.120,0.013,0.039,0.084,0.000
90,20106.50,18391.18,20224,0,4224,1,1.179,1919.9,idle(warmup),2.00e-04,0.327,0.219,0.103,0.080,0.127,0.017,0.059,0.069,0.000
91,27584.50,18492.21,27694,0,11694,1,1.210,1943.6,idle(warmup),2.00e-04,0.394,0.151,0.098,0.097,0.128,0.010,0.036,0.087,0.000
92,19595.00,18504.19,19755,0,3755,1,1.230,1966.2,idle(warmup),2.00e-04,0.310,0.175,0.126,0.141,0.091,0.018,0.061,0.079,0.000
93,36566.50,18698.41,37487,0,21487,1,1.180,1995.9,idle(warmup),2.00e-04,0.465,0.130,0.066,0.112,0.084,0.018,0.023,0.101,0.000
94,19102.50,18702.71,19212,0,4212,1,1.265,2015.6,idle(warmup),2.00e-04,0.345,0.155,0.080,0.130,0.127,0.016,0.061,0.086,0.000
95,20716.50,18723.91,21176,0,5176,1,1.330,2039.4,idle(warmup),2.00e-04,0.353,0.089,0.096,0.170,0.110,0.027,0.054,0.101,0.000
96,19018.50,18726.98,19374,0,3374,1,1.296,2062.1,idle(warmup),2.00e-04,0.348,0.143,0.108,0.118,0.097,0.038,0.055,0.093,0.000
97,22682.50,18767.76,22811,0,6811,1,1.162,2085.3,idle(warmup),2.00e-04,0.397,0.121,0.125,0.125,0.106,0.008,0.050,0.068,0.000
98,20958.00,18790.11,20951,0,4951,1,1.214,2105.0,idle(warmup),2.00e-04,0.354,0.147,0.119,0.124,0.093,0.013,0.067,0.083,0.000
99,27838.50,18881.50,28119,0,12119,1,1.097,2127.8,idle(warmup),2.00e-04,0.467,0.098,0.088,0.124,0.123,0.004,0.034,0.061,0.000
100,26608.50,18958.77,26998,0,10998,1,1.136,2151.2,idle(warmup),2.00e-04,0.461,0.181,0.069,0.060,0.124,0.006,0.041,0.058,0.000
101,19705.47,19051.79,18804,1,6772,1,1.126,2187.1,rl_v4,2.00e-04,0.287,0.174,0.120,0.158,0.118,0.007,0.100,0.035,0.000
102,28052.00,19243.82,27084,2,5572,1,1.290,2231.0,rl_v4,2.00e-04,0.394,0.107,0.076,0.071,0.129,0.013,0.131,0.079,0.000
103,30851.50,19426.56,30811,2,11598,1,1.111,2270.6,rl_v4,2.00e-04,0.312,0.225,0.115,0.088,0.130,0.009,0.076,0.045,0.000
104,34949.00,19661.65,34128,2,16131,1,1.092,2314.4,rl_v4,2.00e-04,0.350,0.124,0.159,0.145,0.125,0.010,0.041,0.045,0.000
105,19655.98,19704.44,19736,0,7769,1,1.157,2355.4,rl_v4,2.00e-04,0.345,0.183,0.122,0.125,0.119,0.006,0.056,0.044,0.000
106,36003.50,19915.22,35085,2,14762,1,1.035,2396.7,rl_v4,2.00e-04,0.380,0.185,0.142,0.106,0.106,0.010,0.033,0.037,0.000
107,35988.50,20122.89,36163,0,24717,1,1.144,2442.0,rl_v4,2.00e-04,0.499,0.123,0.081,0.113,0.094,0.005,0.020,0.064,0.000
108,15513.76,20068.51,14783,1,3018,1,1.206,2479.4,rl_v4,2.00e-04,0.302,0.207,0.092,0.066,0.128,0.037,0.128,0.040,0.000
109,26792.50,20182.27,27061,1,10190,1,1.185,2521.4,rl_v4,2.00e-04,0.367,0.098,0.146,0.143,0.127,0.011,0.047,0.063,0.000
110,27078.00,20318.47,26736,1,10128,1,1.167,2557.8,rl_v4,2.00e-04,0.350,0.139,0.109,0.139,0.150,0.009,0.056,0.048,0.000
111,43616.00,20639.24,43088,1,26426,1,1.077,2602.8,rl_v4,2.00e-04,0.459,0.141,0.080,0.120,0.110,0.005,0.035,0.050,0.000
112,22957.50,20713.73,23095,0,10906,1,1.179,2640.5,rl_v4,2.00e-04,0.322,0.213,0.083,0.095,0.163,0.013,0.064,0.046,0.000
113,20809.48,20841.11,21670,0,10270,1,1.343,2688.5,rl_v4,2.00e-04,0.397,0.124,0.093,0.167,0.095,0.026,0.041,0.057,0.000
114,14726.45,20887.63,15942,0,2923,1,1.385,2732.6,rl_v4,2.00e-04,0.321,0.122,0.106,0.162,0.098,0.085,0.053,0.054,0.000
115,10049.21,20747.20,10871,0,4810,1,1.336,2770.1,rl_v4,2.00e-04,0.339,0.157,0.099,0.089,0.110,0.103,0.055,0.048,0.000
116,16364.76,20775.03,17202,0,6162,1,1.259,2807.8,rl_v4,2.00e-04,0.324,0.189,0.111,0.073,0.096,0.073,0.079,0.054,0.000
117,19526.96,20874.46,19702,0,6748,1,1.200,2843.1,rl_v4,2.00e-04,0.329,0.154,0.129,0.101,0.142,0.013,0.087,0.046,0.000
118,11803.27,20827.82,13023,0,944,1,1.219,2890.1,rl_v4,2.00e-04,0.285,0.205,0.054,0.073,0.105,0.126,0.107,0.045,0.000
119,21664.00,20923.01,22138,0,10369,1,1.179,2933.7,rl_v4,2.00e-04,0.347,0.163,0.091,0.125,0.138,0.050,0.045,0.042,0.000
120,15639.81,20860.64,16897,0,5593,1,1.222,2973.4,rl_v4,2.00e-04,0.357,0.159,0.077,0.069,0.075,0.135,0.077,0.052,0.000
121,6451.56,20727.89,7148,0,1124,1,1.256,3000.8,rl_v4,2.00e-04,0.339,0.141,0.066,0.062,0.106,0.160,0.081,0.044,0.000
122,11672.22,20699.68,13026,0,2840,1,1.293,3039.4,rl_v4,2.00e-04,0.363,0.139,0.064,0.071,0.073,0.128,0.107,0.055,0.000
123,8922.68,20636.41,9783,0,2635,1,1.190,3068.2,rl_v4,2.00e-04,0.436,0.217,0.042,0.047,0.073,0.069,0.058,0.059,0.000
124,9856.97,20595.55,10924,0,3039,1,1.300,3100.6,rl_v4,2.00e-04,0.443,0.105,0.030,0.090,0.135,0.086,0.057,0.053,0.000
125,25500.50,20656.80,26403,1,9406,1,1.254,3136.8,rl_v4,2.00e-04,0.405,0.107,0.083,0.182,0.096,0.033,0.056,0.039,0.000
126,15928.90,20679.71,16635,0,5488,1,1.233,3184.5,rl_v4,2.00e-04,0.352,0.140,0.069,0.117,0.118,0.045,0.104,0.055,0.000
127,14963.34,20720.08,15140,0,4738,1,1.186,3223.0,rl_v4,2.00e-04,0.323,0.145,0.069,0.178,0.147,0.013,0.074,0.051,0.000
128,20962.48,20793.08,20559,1,9632,1,1.284,3259.5,rl_v4,2.00e-04,0.358,0.162,0.119,0.102,0.093,0.043,0.067,0.056,0.000
129,22180.50,20796.36,21294,1,6080,1,1.192,3294.6,rl_v4,2.00e-04,0.302,0.220,0.121,0.105,0.125,0.013,0.061,0.051,0.000
130,29910.50,20928.29,30442,0,18938,1,1.293,3343.5,rl_v4,2.00e-04,0.444,0.102,0.062,0.141,0.121,0.020,0.033,0.078,0.000
131,11033.65,20861.34,11675,0,4999,1,1.372,3382.3,rl_v4,2.00e-04,0.365,0.088,0.086,0.118,0.128,0.114,0.040,0.061,0.000
132,18874.48,20889.70,18914,0,6785,1,1.211,3421.7,rl_v4,2.00e-04,0.328,0.207,0.084,0.138,0.110,0.019,0.052,0.061,0.000
133,20222.48,20914.99,20201,1,5735,1,1.250,3456.4,rl_v4,2.00e-04,0.347,0.101,0.077,0.192,0.120,0.030,0.077,0.056,0.000
134,37922.00,21038.57,38183,1,21394,1,1.206,3495.3,rl_v4,2.00e-04,0.462,0.159,0.072,0.085,0.089,0.011,0.031,0.090,0.000
135,42501.50,21325.35,42673,1,25615,1,1.148,3533.3,rl_v4,2.00e-04,0.487,0.168,0.068,0.067,0.089,0.014,0.032,0.075,0.000
136,19479.90,21337.74,20894,0,7538,1,1.312,3580.2,rl_v4,2.00e-04,0.476,0.166,0.041,0.084,0.061,0.061,0.033,0.077,0.000
137,11078.13,21331.74,11662,0,2085,1,1.278,3615.3,rl_v4,2.00e-04,0.309,0.174,0.044,0.091,0.151,0.093,0.084,0.054,0.000
138,17235.65,21295.57,18608,0,2588,1,1.292,3659.9,rl_v4,2.00e-04,0.472,0.150,0.028,0.105,0.073,0.039,0.030,0.103,0.000
139,22560.00,21421.80,23107,0,11468,1,1.286,3702.9,rl_v4,2.00e-04,0.376,0.174,0.086,0.136,0.099,0.023,0.042,0.063,0.000
140,19404.99,21344.92,19601,0,6738,1,1.249,3739.7,rl_v4,2.00e-04,0.361,0.189,0.092,0.083,0.127,0.014,0.054,0.080,0.000
141,16073.96,21287.07,16574,0,4776,1,1.307,3778.3,rl_v4,2.00e-04,0.323,0.136,0.069,0.144,0.143,0.058,0.049,0.078,0.000
142,25194.50,21332.76,25759,0,12692,1,1.326,3823.6,rl_v4,2.00e-04,0.390,0.178,0.048,0.146,0.098,0.019,0.025,0.097,0.000
143,17450.47,21361.26,17506,0,5437,1,1.274,3862.0,rl_v4,2.00e-04,0.306,0.193,0.086,0.129,0.115,0.020,0.060,0.090,0.000
144,28390.50,21516.97,29438,0,14312,1,1.298,3910.2,rl_v4,2.00e-04,0.471,0.159,0.017,0.105,0.060,0.012,0.015,0.160,0.000
145,20771.48,21536.35,21162,0,8935,1,1.297,3952.0,rl_v4,2.00e-04,0.392,0.160,0.042,0.136,0.088,0.019,0.041,0.121,0.000
146,37432.50,21673.99,38156,0,26164,1,1.181,3999.6,rl_v4,2.00e-04,0.486,0.164,0.027,0.061,0.052,0.005,0.013,0.191,0.000
147,10302.08,21580.58,10839,0,2176,1,1.334,4039.2,rl_v4,2.00e-04,0.344,0.142,0.056,0.098,0.100,0.080,0.072,0.109,0.000
148,24564.00,21600.85,25364,0,13771,1,1.262,4079.0,rl_v4,2.00e-04,0.468,0.134,0.042,0.090,0.058,0.008,0.018,0.182,0.000
149,7367.77,21498.19,8111,0,-184,-1,1.371,4108.2,rl_v4,2.00e-04,0.333,0.133,0.051,0.128,0.086,0.119,0.036,0.115,0.000
150,25703.50,21508.45,26639,0,11812,1,1.160,4151.1,rl_v4,2.00e-04,0.529,0.146,0.042,0.093,0.039,0.007,0.016,0.128,0.000
151,28228.50,21531.17,28882,0,17081,1,1.158,4196.1,rl_v4,2.00e-04,0.491,0.188,0.044,0.096,0.056,0.010,0.019,0.097,0.000
152,14093.71,21423.47,14644,0,2374,1,1.319,4238.0,rl_v4,2.00e-04,0.386,0.133,0.032,0.136,0.091,0.054,0.053,0.116,0.000
153,24557.00,21451.07,25061,0,11290,1,1.264,4278.0,rl_v4,2.00e-04,0.500,0.156,0.050,0.114,0.043,0.015,0.023,0.099,0.000
154,20770.00,21488.31,20938,0,8417,1,1.265,4313.9,rl_v4,2.00e-04,0.409,0.175,0.051,0.136,0.071,0.012,0.036,0.110,0.000
155,18083.98,21474.52,18396,0,6898,1,1.255,4346.9,rl_v4,2.00e-04,0.428,0.201,0.053,0.087,0.057,0.026,0.043,0.106,0.000
156,31271.00,21560.90,32244,0,19640,1,1.170,4384.1,rl_v4,2.00e-04,0.554,0.124,0.051,0.092,0.037,0.013,0.013,0.115,0.000
157,13720.42,21518.31,14882,0,1332,1,1.175,4418.1,rl_v4,2.00e-04,0.545,0.165,0.024,0.039,0.029,0.034,0.007,0.158,0.000
158,15102.90,21547.33,15038,0,3493,1,1.290,4451.2,rl_v4,2.00e-04,0.369,0.197,0.058,0.113,0.070,0.017,0.045,0.132,0.000
159,17623.48,21528.38,17800,0,5913,1,1.289,4492.3,rl_v4,2.00e-04,0.401,0.189,0.050,0.087,0.089,0.017,0.035,0.134,0.000
160,23862.00,21607.55,24238,0,10270,1,1.290,4537.2,rl_v4,2.00e-04,0.434,0.168,0.038,0.119,0.054,0.008,0.012,0.167,0.000
161,28388.00,21695.48,29004,0,17114,1,1.284,4577.6,rl_v4,2.00e-04,0.437,0.167,0.059,0.109,0.055,0.011,0.016,0.147,0.000
162,20424.99,21675.36,20580,0,9558,1,1.339,4611.3,rl_v4,2.00e-04,0.389,0.166,0.060,0.126,0.083,0.020,0.026,0.131,0.000
163,9554.82,21567.14,10267,0,-1358,-1,1.399,4646.4,rl_v4,2.00e-04,0.382,0.146,0.047,0.112,0.060,0.064,0.042,0.148,0.000
164,13468.76,21574.17,13454,0,4163,1,1.355,4675.6,rl_v4,2.00e-04,0.365,0.164,0.058,0.169,0.094,0.015,0.024,0.112,0.000
165,22174.50,21607.95,22510,0,11033,1,1.202,4712.3,rl_v4,2.00e-04,0.420,0.208,0.048,0.130,0.054,0.011,0.020,0.110,0.000
166,17460.46,21611.36,17548,0,5829,1,1.290,4744.2,rl_v4,2.00e-04,0.410,0.188,0.054,0.138,0.083,0.012,0.026,0.090,0.000
167,26955.50,21644.56,27233,1,11042,1,1.215,4780.7,rl_v4,2.00e-04,0.440,0.215,0.056,0.114,0.057,0.013,0.021,0.084,0.000
168,21012.50,21612.80,21438,0,10055,1,1.161,4817.3,rl_v4,2.00e-04,0.503,0.170,0.040,0.112,0.065,0.008,0.016,0.086,0.000
169,22386.00,21678.14,23283,0,11494,1,1.124,4852.0,rl_v4,2.00e-04,0.581,0.135,0.021,0.096,0.055,0.009,0.017,0.085,0.000
170,21483.00,21700.39,21887,0,9923,1,1.210,4886.2,rl_v4,2.00e-04,0.480,0.188,0.039,0.086,0.079,0.005,0.020,0.104,0.000
171,14904.89,21525.71,15036,0,7296,1,1.249,4913.9,rl_v4,2.00e-04,0.461,0.166,0.050,0.111,0.075,0.011,0.029,0.097,0.000
172,16804.41,21531.42,17925,0,4679,1,1.180,4951.9,rl_v4,2.00e-04,0.549,0.168,0.014,0.073,0.049,0.009,0.011,0.128,0.000
